ID	genbank name	AHRD name
CNAG_00061	citrate synthase, mitochondrial	Citrate synthase, mitochondrial
CNAG_00062	26S proteasome regulatory subunit N3	26S proteasome non-ATPase regulatory subunit 3
CNAG_00063	histone H3	Histone H3
CNAG_00064	COPII-coated vesicle protein	Transmembrane emp24 domain-containing protein A
CNAG_00065	ran-binding protein 1	Ran-specific GTPase-activating protein 1
CNAG_00066	membrane protein	Uncharacterized membrane protein C1322.03
CNAG_00067	protein translocase SEC61 complex gamma subunit	Probable protein transport protein Sec61 subunit gamma
CNAG_00068	specific RNA polymerase II transcription factor	Zinc finger protein 665
CNAG_00069	hypothetical protein	Unknown protein
CNAG_00070	hypothetical protein	Unknown protein
CNAG_00072	protein disulfide-isomerase	Protein disulfide-isomerase 2
CNAG_00073	nuclear mRNA splicing protein	WD repeat-containing protein 5B
CNAG_00074	protein PNS1	Protein PNS1 Protein PNS1
CNAG_00075	hypothetical protein	Unknown protein
CNAG_00076	A/G-specific adenine glycosylase	A/G-specific adenine glycosylase
CNAG_00077	solute carrier family 26 (sodium-independent sulfate anion transporter), member 11	Sulfate transporter 3.1
CNAG_00078	vacuolar protein	Uncharacterized vacuolar membrane protein YGR125W
CNAG_00079	hypothetical protein	Unknown protein
CNAG_00080	hypothetical protein	Unknown protein
CNAG_00081	pre-mRNA-processing factor 6	Pre-mRNA-processing factor 6
CNAG_00082	cytosolic Fe-S cluster assembly factor CFD1	Cytosolic Fe-S cluster assembly factor NUBP2 homolog
CNAG_00083	hypothetical protein	Unknown protein
CNAG_00084	glutamine-tRNA ligase	Glutamine--tRNA ligase
CNAG_00085	histone chaperone ASF1	Histone chaperone ASF1
CNAG_00086	N2,N2-dimethylguanosine tRNA methyltransferase	tRNA (guanine(26)-N(2))-dimethyltransferase
CNAG_00087	hypothetical protein	Unknown protein
CNAG_00088	prohibitin PHB1	Prohibitin-1
CNAG_00089	exosome complex component RRP4	Probable exosome complex RNA-binding protein 1
CNAG_00090	hypothetical protein	Unknown protein
CNAG_00091	hypothetical protein	Unknown protein
CNAG_00092	mitochondrial protein	Mitochondrial pyruvate carrier 2
CNAG_00093	hypothetical protein	Unknown protein
CNAG_00094	NAD-dependent epimerase/dehydratase	Putative UDP-arabinose 4-epimerase 4
CNAG_00095	hypothetical protein	Uncharacterized protein C20F10.08c
CNAG_00096	hypothetical protein	Unknown protein
CNAG_00097	MFS transporter, SP family, solute carrier family 2 (myo-inositol transporter), member 13	Solute carrier family 2, facilitated glucose transporter member 3
CNAG_00098	palmitoyl-protein thioesterase	Palmitoyl-protein thioesterase 1
CNAG_00099	minichromosome maintenance protein 3	DNA replication licensing factor mcm3
CNAG_00100	stress-induced-phosphoprotein 1	Tetratricopeptide repeat protein 28
CNAG_00101	hypothetical protein	Inositol phoshorylceramide synthase regulatory subunit kei1
CNAG_00104	elongation factor 3	Methionine import ATP-binding protein MetN 2
CNAG_00105	pyridoxal reductase	Probable aldo-keto reductase 3
CNAG_00106	two-component system sensor protein	Two-component system protein A
CNAG_00107	hypothetical protein	Unknown protein
CNAG_00108	RuvB-like helicase 1	RuvB-like helicase 1 RuvB-like helicase 1
CNAG_00109	large subunit ribosomal protein L34	Probable 54S ribosomal protein L34, mitochondrial
CNAG_00110	hypothetical protein	GTPase-binding protein rid1
CNAG_00111	splicing factor 3A subunit 1	Probable splicing factor 3A subunit 1
CNAG_00115	chlorophyll synthesis pathway protein BchC	L-threonine 3-dehydrogenase
CNAG_00116	small subunit ribosomal protein S3	30S ribosomal protein S3
CNAG_00117	delta14-sterol reductase	Delta(14)-sterol reductase
CNAG_00118	hypothetical protein	Unknown protein
CNAG_00119	hypothetical protein	Unknown protein
CNAG_00120	hypothetical protein	Unknown protein
CNAG_00121	glycerol-3-phosphate dehydrogenase (NAD(+))	Glycerol-3-phosphate dehydrogenase [NAD(P)+]
CNAG_00122	alpha-amylase	Alpha-amylase 1
CNAG_00123	hypothetical protein	Uncharacterized 28.5 kDa protein in 7S RNA 5'region
CNAG_00124	hypothetical protein	Unknown protein
CNAG_00125	hypothetical protein	Regulator of G-protein signaling 1
CNAG_00126	2-deoxy-D-gluconate 3-dehydrogenase	Dehydrogenase/reductase SDR family member 4
CNAG_00127	hypothetical protein	Unknown protein
CNAG_00128	hypothetical protein	Unknown protein
CNAG_00129	hypothetical protein	Unknown protein
CNAG_00130	CAMK/CAMK1/CAMK1-RCK protein kinase	Calcium-dependent protein kinase 2
CNAG_00131	alcohol dehydrogenase	Quinone oxidoreductase-like protein 2
CNAG_00132	hypothetical protein	Unknown protein
CNAG_00133	hypothetical protein	Putative RNA polymerase II transcriptional coactivator
CNAG_00134	hypothetical protein	Unknown protein
CNAG_00135	cyclophilin	RNA-binding protein 28
CNAG_00136	ubiquitin-activating enzyme E1	Ubiquitin-activating enzyme E1 1
CNAG_00137	hypothetical protein	Unknown protein
CNAG_00138	ubiquinone biosynthesis methyltransferase	Ubiquinone/menaquinone biosynthesis methyltransferase ubiE
CNAG_00139	hypothetical protein	Glutathione S-transferase 1
CNAG_00140	U1 small nuclear ribonucleoprotein 70kDa	U1 small nuclear ribonucleoprotein 70 kDa homolog
CNAG_00141	monooxygenase	Zeaxanthin epoxidase, chloroplastic
CNAG_00142	hypothetical protein	Pre-rRNA-processing protein esf1
CNAG_00143	phosphoribosylaminoimidazolesuccinocarboxamide synthase	Phosphoribosylaminoimidazole-succinocarboxamide synthase
CNAG_00144	hypothetical protein	Unknown protein
CNAG_00145	actin-2	Actin-2
CNAG_00146	5'/3'-nucleotidase SurE	5'-nucleotidase SurE
CNAG_00147	pre-mRNA-processing-splicing factor 8	Pre-mRNA-processing-splicing factor 8
CNAG_00148	hypothetical protein	COPII coat assembly protein SEC16
CNAG_00149	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex 4	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 4
CNAG_00150	peptidase	Subtilisin-like protease
CNAG_00151	transcription elongation regulator 1	Transcription elongation regulator 1
CNAG_00152	hypothetical protein	Small ubiquitin-related modifier 1
CNAG_00153	hypothetical protein	Zinc finger CCHC domain-containing protein 8
CNAG_00154	oxidoreductase	NADPH dehydrogenase
CNAG_00155	hypothetical protein	Unknown protein
CNAG_00156	hypothetical protein	Zinc finger protein 143
CNAG_00157	hypothetical protein	Unknown protein
CNAG_00158	glycosyltransferase	Initiation-specific alpha-1,6-mannosyltransferase
CNAG_00159	hypothetical protein	Unknown protein
CNAG_00160	hypothetical protein	Unknown protein
CNAG_00161	auxin-induced protein	Putative reductase 1
CNAG_00162	alternative oxidase, mitochondrial	Alternative oxidase, mitochondrial
CNAG_00163	general transcription factor 3C polypeptide 4	Unknown protein
CNAG_00164	hypothetical protein	Unknown protein
CNAG_00165	methylthioadenosine phosphorylase	S-methyl-5'-thioadenosine phosphorylase
CNAG_00166	ATP-dependent RNA helicase DBP8	ATP-dependent RNA helicase DRS1
CNAG_00167	hypothetical protein	Peroxisomal membrane protein PEX31
CNAG_00171	peroxin-2	Peroxisome biogenesis factor 2
CNAG_00172	kinesin	Kinesin-4
CNAG_00173	hypothetical protein	Unknown protein
CNAG_00174	hypothetical protein	Unknown protein
CNAG_00175	hypothetical protein	Putative tyrosine-protein phosphatase OCA1
CNAG_00176	glutamate carboxypeptidase	Cytosolic non-specific dipeptidase
CNAG_00177	hypothetical protein	Unknown protein
CNAG_00178	DNA repair protein REV1	DNA polymerase IV
CNAG_00179	guanine nucleotide-binding protein subunit alpha	Guanine nucleotide-binding protein alpha-1 subunit
CNAG_00180	ubiquitin carboxyl-terminal hydrolase L3	Ubiquitin carboxyl-terminal hydrolase isozyme L3
CNAG_00181	macrophage erythroblast attacher isoform 1	Protein FYV10
CNAG_00182	retrograde transporter	Vacuolar protein sorting-associated protein 29
CNAG_00183	alternative cyclin Pcl12	PHO85 cyclin-1
CNAG_00184	pre-mRNA cleavage complex 2 protein Pcf11	Pre-mRNA cleavage complex 2 protein Pcf11
CNAG_00185	hypothetical protein	Uncharacterized endoplasmic reticulum membrane protein C1709.03
CNAG_00186	mitotic spindle organizing protein 1	Mitotic-spindle organizing protein 1
CNAG_00187	ubiquitin carboxyl-terminal hydrolase 1	Ubiquitin carboxyl-terminal hydrolase 30
CNAG_00188	endoplasmic reticulum protein	ER membrane protein complex subunit 4
CNAG_00189	hypothetical protein	Ribonuclease T2-like
CNAG_00190	hypothetical protein	Unknown protein
CNAG_00191	etoposide-induced protein	Etoposide-induced protein 2.4 homolog
CNAG_00192	hypothetical protein	Unknown protein
CNAG_00193	GATA type zinc finger protein asd-4	Trans-acting T-cell-specific transcription factor GATA-3
CNAG_00194	hypothetical protein	Unknown protein
CNAG_00195	exosome complex protein LRP1	Nuclear nucleic acid-binding protein C1D
CNAG_00229	hypothetical protein	Unknown protein
CNAG_00231	hypothetical protein	Uncharacterized protein YJR129C
CNAG_00232	large subunit ribosomal protein L30e	60S ribosomal protein L30-1
CNAG_00233	chaperone protein	Mitochondrial import inner membrane translocase subunit tim14
CNAG_00234	tRNA-dihydrouridine synthase 4	tRNA-dihydrouridine synthase C
CNAG_00235	amt family ammonium transporter	Ammonium transporter 1
CNAG_00236	8-amino-7-oxononanoate synthase	Putative 8-amino-7-oxononanoate synthase
CNAG_00237	3-isopropylmalate dehydratase, large subunit	3-isopropylmalate dehydratase large subunit
CNAG_00238	isoleucine-tRNA ligase	Isoleucine--tRNA ligase
CNAG_00239	hypothetical protein	AP-1-like transcription factor
CNAG_00240	hypothetical protein	SWI/SNF chromatin-remodeling complex subunit sol1
CNAG_00241	protein AIR1/2	Protein AIR1
CNAG_00242	hypothetical protein	Unknown protein
CNAG_00243	hypothetical protein	Unknown protein
CNAG_00246	hypothetical protein	Unknown protein
CNAG_00247	alpha-aminoadipic semialdehyde synthase	Alpha-aminoadipic semialdehyde synthase, mitochondrial
CNAG_00248	ESCRT-II complex subunit VPS36	Vacuolar protein-sorting-associated protein 36
CNAG_00249	hypothetical protein	Unknown protein
CNAG_00250	hypothetical protein	Alkali-sensitive linkage protein 1
CNAG_00251	hypothetical protein	Uncharacterized protein YER010C
CNAG_00252	transcription elongation factor B, polypeptide 1	Transcription elongation factor B polypeptide 1
CNAG_00253	hypothetical protein	Exocyst complex component 6
CNAG_00254	NADH dehydrogenase	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 9, mitochondrial
CNAG_00255	hypothetical protein	Unknown protein
CNAG_00256	aspartate-semialdehyde dehydrogenase	Probable aspartate-semialdehyde dehydrogenase
CNAG_00257	kinesin family member 21A	Kinesin-related protein 8
CNAG_00258	hypothetical protein	Unknown protein
CNAG_00259	bud site selection protein	Uncharacterized methyltransferase WBSCR22
CNAG_00260	transformer-2 protein	Probable RNA-binding protein 23
CNAG_00261	hypothetical protein	Unknown protein
CNAG_00262	hypothetical protein	Unknown protein
CNAG_00263	serine/threonine/tyrosine-interacting protein	Dual specificity protein phosphatase 1
CNAG_00264	nuclease I	Endonuclease 4
CNAG_00265	isopentenyl-diphosphate delta-isomerase	Isopentenyl-diphosphate Delta-isomerase
CNAG_00266	hypothetical protein	ATP-dependent kinase YFH7
CNAG_00267	hypothetical protein	Transcriptional protein swt1
CNAG_00268	acetolactate synthase, mitochondrial	Acetolactate synthase
CNAG_00269	sorbitol dehydrogenase	L-threonine 3-dehydrogenase
CNAG_00270	mitochondrial protein	Probable mitochondrial pyruvate carrier 2
CNAG_00271	INO80 complex subunit C	Chromatin-remodeling complex subunit ies6
CNAG_00272	hypothetical protein	Sacsin
CNAG_00273	hypothetical protein	Unknown protein
CNAG_00274	hypothetical protein	Palmitoyltransferase erf2
CNAG_00275	hypothetical protein	Putative oxidoreductase GLYR1 homolog
CNAG_00276	hypothetical protein	Ubiquitin-conjugating enzyme E2 L3
CNAG_00277	hypothetical protein	Unknown protein
CNAG_00278	methionine aminopeptidase, type I	Methionine aminopeptidase 1
CNAG_00279	hypothetical protein	Unknown protein
CNAG_00280	complement component 1 Q subcomponent-binding protein, mitochondrial	Complement component 1 Q subcomponent-binding protein, mitochondrial
CNAG_00283	hypothetical protein	Unknown protein
CNAG_00284	efflux protein EncT	Uncharacterized MFS-type transporter YusP
CNAG_00285	hypothetical protein	Oleate activated transcription factor 3
CNAG_00286	hypothetical protein	Nuclear polyadenylated RNA-binding protein nab2
CNAG_00287	cytoplasmic protein	Tetratricopeptide repeat protein 12
CNAG_00288	oligoribonuclease	Probable oligoribonuclease
CNAG_00289	hypothetical protein	L-azetidine-2-carboxylic acid acetyltransferase
CNAG_00290	aminopeptidase	Leucine aminopeptidase 1
CNAG_00291	hypothetical protein	TBC1 domain family member 22A
CNAG_00292	zinc finger protein	Zinc finger protein zpr1
CNAG_00293	Ras-like protein	Ras-like protein
CNAG_00294	splicing factor 45	Poly(U)-binding-splicing factor PUF60
CNAG_00295	hypothetical protein	Unknown protein
CNAG_00299	DNA repair protein RAD5	Putative DNA helicase INO80
CNAG_00300	gamma-tubulin complex component 2	Gamma-tubulin complex component 2
CNAG_00301	hypothetical protein	Unknown protein
CNAG_00302	hypothetical protein	Unknown protein
CNAG_00303	high-affinity nicotinic acid transporter	High-affinity nicotinic acid transporter
CNAG_00304	hypothetical protein	Unknown protein
CNAG_00305	chaperone activator	Activator of 90 kDa heat shock protein ATPase homolog 1
CNAG_00306	hypothetical protein	Unknown protein
CNAG_00307	hypothetical protein	Mitochondrial import receptor subunit TOM7
CNAG_00308	gly-X carboxypeptidase	Succinyl-diaminopimelate desuccinylase
CNAG_00309	membrane protein	N-acetylated-alpha-linked acidic dipeptidase 2
CNAG_00310	origin recognition complex subunit 5	Origin recognition complex subunit 5
CNAG_00311	3-hydroxyisobutyryl-CoA hydrolase	Fatty acid oxidation complex subunit alpha
CNAG_00312	synaptobrevin	Probable Golgi SNAP receptor complex member 2
CNAG_00313	hypothetical protein	Spermidine synthase
CNAG_00314	hypothetical protein	Unknown protein
CNAG_00315	HHE domain-containing protein	Uncharacterized hemerythrin-like protein C869.06c
CNAG_00316	RdgB/HAM1 family non-canonical purine NTP pyrophosphatase	Non-canonical purine NTP pyrophosphatase
CNAG_00317	hypothetical protein	Protein saf1
CNAG_00318	arp2/3 complex 16 kda subunit	Actin-related protein 2/3 complex subunit 5
CNAG_00319	hypothetical protein	Protein RER1
CNAG_00320	anaphase-promoting complex subunit 3	Cell division cycle protein 27 homolog
CNAG_00321	dRaptor	Regulatory-associated protein of TOR 2
CNAG_00322	hypothetical protein	Unknown protein
CNAG_00323	hypothetical protein	Unknown protein
CNAG_00326	hypothetical protein	Uncharacterized J domain-containing protein C3E7.11c
CNAG_00327	DASH complex subunit DAD2	DASH complex subunit dad2
CNAG_00328	DNA excision repair protein ERCC-5	Flap endonuclease 1
CNAG_00329	NADH dehydrogenase (ubiquinone) 1 beta subcomplex 8	Unknown protein
CNAG_00330	transcription factor TFIIIB component b''	Transcription factor TFIIIB component B''
CNAG_00331	anon-23da protein	Abhydrolase domain-containing protein
CNAG_00332	hypothetical protein	Unknown protein
CNAG_00333	hypothetical protein	Unknown protein
CNAG_00334	hsp75-like protein	Heat shock 70 kDa protein homolog
CNAG_00335	hypothetical protein	PP2A regulatory subunit TAP46
CNAG_00336	hypothetical protein	Unknown protein
CNAG_00337	hypothetical protein	Unknown protein
CNAG_00342	hypothetical protein	Unknown protein
CNAG_00343	hypothetical protein	NAD-dependent protein deacetylase
CNAG_00344	hypothetical protein	Unknown protein
CNAG_00345	porphobilinogen synthase	Delta-aminolevulinic acid dehydratase
CNAG_00346	hypothetical protein	Type 1 phosphatases regulator YPI1
CNAG_00347	DEAH box polypeptide 36	ATP-dependent RNA helicase A
CNAG_00348	hypothetical protein	Unknown protein
CNAG_00349	hypothetical protein	Unknown protein
CNAG_00351	hypothetical protein	Unknown protein
CNAG_00352	A1 cistron-splicing factor AAR2	Protein AAR2 homolog
CNAG_00353	3-oxo-5-alpha-steroid 4-dehydrogenase 1	3-oxo-5-alpha-steroid 4-dehydrogenase 1
CNAG_00354	vacuolar protein 8	Vacuolar protein 8 Vacuolar protein 8
CNAG_00355	hypothetical protein	Multiple myeloma tumor-associated protein 2 homolog
CNAG_00356	survival factor 1	Survival factor 1
CNAG_00357	ribonuclease HI	Ribonuclease H1
CNAG_00358	tRNA dimethylallyltransferase	tRNA dimethylallyltransferase
CNAG_00359	hypothetical protein	Unknown protein
CNAG_00360	nuclear protein SNF4	5'-AMP-activated protein kinase subunit gamma
CNAG_00361	hypothetical protein	Tyrosine-protein kinase Src-2
CNAG_00362	hypothetical protein	Origin recognition complex subunit 3
CNAG_00363	two-component system sensor protein	Two-component system protein A
CNAG_00364	tRNA threonylcarbamoyladenosine biosynthesis protein	Probable tRNA threonylcarbamoyladenosine biosynthesis protein Gcp
CNAG_00365	lysophospholipid acyltransferase	Lysophospholipid acyltransferase
CNAG_00366	hypothetical protein	Unknown protein
CNAG_00367	dynactin 5	Dynactin subunit 5
CNAG_00368	vacuolar-sorting protein 53 long isoform	Vacuolar protein sorting-associated protein 53 homolog
CNAG_00369	hypothetical protein	Mediator of RNA polymerase II transcription subunit 6
CNAG_00370	polyubiquitin	Ubiquitin-60S ribosomal protein L40
CNAG_00371	methylglutaconyl-CoA hydratase	Fatty acid oxidation complex subunit alpha
CNAG_00372	chromatin structure-remodeling complex protein RSC7	Chromatin structure-remodeling complex subunit RSC7
CNAG_00373	glucan 1,3-beta-glucosidase	Probable glucan 1,3-beta-glucosidase A
CNAG_00374	hypothetical protein	Unknown protein
CNAG_00375	histone acetyltransferase	Histone acetyltransferase GCN5
CNAG_00376	hypothetical protein	Unknown protein
CNAG_00377	DNA topoisomerase II	DNA topoisomerase 4 subunit B
CNAG_00378	hypothetical protein	Unknown protein
CNAG_00383	phospholipid-transporting ATPase	Probable phospholipid-transporting ATPase IA
CNAG_00384	RAD51-like protein 2	DNA repair and recombination protein RadA DNA repair and recombination protein RadA DNA repair and recombination protein RadA DNA repair and recombination protein RadA DNA repair and recombination protein RadA DNA repair and recombination protein RadA
CNAG_00385	20S proteasome subunit beta 3	Proteasome subunit beta 2
CNAG_00386	translation initiation factor 4G	Eukaryotic translation initiation factor 4 gamma
CNAG_00387	hypothetical protein	TBC domain-containing protein C1952.17c
CNAG_00388	1-phosphatidylinositol-4-phosphate 5-kinase	Phosphatidylinositol 4-phosphate 5-kinase 1
CNAG_00389	mitochondrial protein	Putative transferase CAF17, mitochondrial
CNAG_00390	myotubularin	Myotubularin-related protein 8
CNAG_00391	hypothetical protein	Unknown protein
CNAG_00392	kelch repeat-containing protein	Kelch-like protein 12
CNAG_00393	1,4-alpha-glucan-branching enzyme	1,4-alpha-glucan branching enzyme GlgB
CNAG_00394	diphthamide biosynthesis protein 3	Diphthamide biosynthesis protein 3
CNAG_00395	structure-specific endonuclease subunit SLX1	Structure-specific endonuclease subunit SLX1 Structure-specific endonuclease subunit SLX1
CNAG_00396	AGC/PKA protein kinase	Protein kinase C-like 2
CNAG_00397	2-oxoisovalerate dehydrogenase E1 component, beta subunit	Pyruvate dehydrogenase E1 component subunit beta
CNAG_00398	hypothetical protein	Class E vacuolar protein-sorting machinery protein HSE1
CNAG_00399	transformer-2-beta isoform 3	Probable RNA-binding protein 23
CNAG_00400	secondary thiamine-phosphate synthase enzyme	UPF0047 protein YjbQ UPF0047 protein YjbQ
CNAG_00401	phosphatidylinositol glycan, class U	Phosphatidylinositol glycan anchor biosynthesis class U protein
CNAG_00402	translation initiation factor 4G	Eukaryotic translation initiation factor 4 gamma
CNAG_00403	mitochondrial protein	Gamma-butyrobetaine dioxygenase
CNAG_00404	RING zinc finger protein	RING finger protein 44
CNAG_00405	STE/STE20/YSK protein kinase	Serine/threonine-protein kinase ste-20
CNAG_00406	hypothetical protein	Unknown protein
CNAG_00407	glyoxal oxidase	Unknown protein
CNAG_00408	serine/threonine-protein phosphatase PP-X isozyme 1	Serine/threonine-protein phosphatase 4 catalytic subunit
CNAG_00409	hypothetical protein	Uncharacterized methyltransferase-like C25B8.10
CNAG_00410	hypothetical protein	Uncharacterized protein C16H5.12c
CNAG_00411	nucleoporin p58/p45	Nucleoporin nup45
CNAG_00412	hypothetical protein	Unknown protein
CNAG_00413	nuclear protein	2-oxoglutarate and iron-dependent oxygenase domain-containing protein 1
CNAG_00414	hypothetical protein	Uncharacterized protein C16C9.01c
CNAG_00415	CMGC/CDK protein kinase	Cyclin-dependent kinase 3
CNAG_00416	f-box/wd-repeat protein lin-23	WD repeat-containing protein 88
CNAG_00417	elongation factor 1-gamma	Elongation factor 1-gamma
CNAG_00418	S-adenosylmethionine synthase	S-adenosylmethionine synthase 2
CNAG_00419	DNA polymerase beta subunit	Probable DNA polymerase family X
CNAG_00420	dolichyl-phosphate mannosyltransferase polypeptide 3	Dolichol-phosphate mannosyltransferase subunit 3
CNAG_00421	charged multivesicular body protein 3	Charged multivesicular body protein 3
CNAG_00422	hypothetical protein	Unknown protein
CNAG_00423	kinetochore protein Spc24, fungi type	Probable kinetochore protein spc24
CNAG_00424	choline-phosphate cytidylyltransferase	Probable choline-phosphate cytidylyltransferase
CNAG_00425	hypothetical protein	Unknown protein
CNAG_00426	UBA/TS-N domain-containing protein	Auxilin-related protein 2
CNAG_00427	type 2C protein Phosphatase	Protein phosphatase 2C homolog 5
CNAG_00428	hypothetical protein	Uncharacterized protein C23C11.01
CNAG_00429	tRNA-dihydrouridine synthase 1	Probable tRNA-dihydrouridine synthase
CNAG_00430	hypothetical protein	Required for respiratory growth protein 9, mitochondrial
CNAG_00433	hypothetical protein	Unknown protein
CNAG_00434	arginine N-methyltransferase 2	Arginine N-methyltransferase 2 Arginine N-methyltransferase 2
CNAG_00435	hypothetical protein	Unknown protein
CNAG_00436	palmitoyltransferase AKR1	Ankyrin repeat domain-containing protein 50
CNAG_00437	anaphase-promoting complex subunit 11	Anaphase-promoting complex subunit 11
CNAG_00438	hypothetical protein	Unknown protein
CNAG_00439	hypothetical protein	Importin-13
CNAG_00440	cyclin C	Cyclin-C
CNAG_00441	inosine-5'-monophosphate dehydrogenase	Inosine-5'-monophosphate dehydrogenase 2
CNAG_00442	cyclin	PHO85 cyclin-1
CNAG_00443	hypothetical protein	Protein ZINC INDUCED FACILITATOR 1
CNAG_00444	hypothetical protein	Unknown protein
CNAG_00445	hypothetical protein	High mobility group B protein 3
CNAG_00446	hypothetical protein	Unknown protein
CNAG_00447	T-complex protein 1 subunit beta	T-complex protein 1 subunit alpha
CNAG_00448	V-type H+-transporting ATPase subunit AC39	V-type proton ATPase subunit d
CNAG_00449	RNA-binding protein NOB1	RNA-binding protein NOB1
CNAG_00450	3-isopropylmalate dehydrogenase	3-isopropylmalate dehydrogenase
CNAG_00451	cytoplasmic protein	Alanine--tRNA ligase
CNAG_00452	isovaleryl-CoA dehydrogenase	Acyl-CoA dehydrogenase
CNAG_00453	mitochondrial protein	Respiratory supercomplex factor 2, mitochondrial
CNAG_00454	hypothetical protein	Unknown protein
CNAG_00455	ubiquitin carboxyl-terminal hydrolase Ubp16	Ubiquitin carboxyl-terminal hydrolase 17
CNAG_00456	hypothetical protein	Unknown protein
CNAG_00457	glutamine synthetase	Glutamine synthetase
CNAG_00458	hypothetical protein	Unknown protein
CNAG_00460	hypothetical protein	Protein max
CNAG_00461	protein kinase C substrate 80K-H	Glucosidase 2 subunit beta
CNAG_00462	electron-transferring-flavoprotein dehydrogenase	Probable electron transfer flavoprotein-ubiquinone oxidoreductase, mitochondrial
CNAG_00463	hypothetical protein	Unknown protein
CNAG_00464	pre-mRNA-splicing factor RSE1	Pre-mRNA-splicing factor RSE1 Pre-mRNA-splicing factor RSE1
CNAG_00465	hypothetical protein	Unknown protein
CNAG_00466	adaptin ear-binding coat-associated protein 2	Adaptin ear-binding coat-associated protein 2
CNAG_00467	hypothetical protein	Membrane-associated progesterone receptor component 1
CNAG_00468	hypothetical protein	Unknown protein
CNAG_00469	endoplasmic reticulum protein	Protein TEX261
CNAG_00470	charged multivesicular body protein 1	Charged multivesicular body protein 1
