[Gene ID]	[Organism]	[Genomic Location]	[Product Description]	
CNAG_00059	C. neoformans var. grubii H99	CneoH99_Chr01: 166,436 - 167,376 (+)	predicted protein 	
CNAG_00060	C. neoformans var. grubii H99	CneoH99_Chr01: 167,479 - 169,005 (-)	chaperone regulator 	
CNAG_00061	C. neoformans var. grubii H99	CneoH99_Chr01: 169,272 - 171,168 (+)	citrate synthase 	
CNAG_00062	C. neoformans var. grubii H99	CneoH99_Chr01: 172,163 - 174,201 (-)	26S proteasome non-ATPase regulatory subunit 3 	
CNAG_00063	C. neoformans var. grubii H99	CneoH99_Chr01: 174,725 - 175,649 (+)	conserved hypothetical protein 	
CNAG_00064	C. neoformans var. grubii H99	CneoH99_Chr01: 175,947 - 177,023 (-)	COPII-coated vesicle protein 	
CNAG_00065	C. neoformans var. grubii H99	CneoH99_Chr01: 177,357 - 178,845 (+)	ran-specific GTPase-activating protein 1 	
CNAG_00066	C. neoformans var. grubii H99	CneoH99_Chr01: 179,414 - 183,236 (-)	membrane protein 	
CNAG_00067	C. neoformans var. grubii H99	CneoH99_Chr01: 184,000 - 185,195 (+)	conserved hypothetical protein 	
CNAG_00068	C. neoformans var. grubii H99	CneoH99_Chr01: 190,441 - 192,076 (+)	specific RNA polymerase II transcription factor 	
CNAG_00069	C. neoformans var. grubii H99	CneoH99_Chr01: 192,776 - 193,729 (+)	conserved hypothetical protein 	
CNAG_00070	C. neoformans var. grubii H99	CneoH99_Chr01: 195,355 - 197,337 (+)	conserved hypothetical protein 	
CNAG_00072	C. neoformans var. grubii H99	CneoH99_Chr01: 199,238 - 201,178 (+)	disulfide-isomerase 	
CNAG_00073	C. neoformans var. grubii H99	CneoH99_Chr01: 201,511 - 204,596 (-)	nuclear mRNA splicing protein 	
CNAG_00074	C. neoformans var. grubii H99	CneoH99_Chr01: 205,680 - 208,220 (+)	integral to plasma membrane protein 	
CNAG_00075	C. neoformans var. grubii H99	CneoH99_Chr01: 208,635 - 209,249 (-)	conserved hypothetical protein 	
CNAG_00076	C. neoformans var. grubii H99	CneoH99_Chr01: 209,590 - 211,921 (+)	A/G-specific adenine DNA glycosylase 	
CNAG_00077	C. neoformans var. grubii H99	CneoH99_Chr01: 213,664 - 216,292 (+)	sulfate transporter 	
CNAG_00078	C. neoformans var. grubii H99	CneoH99_Chr01: 217,010 - 221,286 (+)	vacuolar protein 	
CNAG_00079	C. neoformans var. grubii H99	CneoH99_Chr01: 223,667 - 224,590 (+)	conserved hypothetical protein 	
CNAG_00080	C. neoformans var. grubii H99	CneoH99_Chr01: 225,551 - 227,032 (-)	conserved hypothetical protein 	
CNAG_00081	C. neoformans var. grubii H99	CneoH99_Chr01: 227,617 - 230,931 (-)	pre-mRNA splicing factor prp1 	
CNAG_00082	C. neoformans var. grubii H99	CneoH99_Chr01: 231,167 - 232,342 (+)	nucleotide binding protein 	
CNAG_00083	C. neoformans var. grubii H99	CneoH99_Chr01: 232,474 - 235,528 (-)	conserved hypothetical protein 	
CNAG_00084	C. neoformans var. grubii H99	CneoH99_Chr01: 236,469 - 239,735 (+)	glutamine-tRNA ligase 	
CNAG_00085	C. neoformans var. grubii H99	CneoH99_Chr01: 239,751 - 240,801 (-)	histone chaperone ASF1 	
CNAG_00086	C. neoformans var. grubii H99	CneoH99_Chr01: 241,072 - 243,433 (+)	tRNA (guanine-N2-)-methyltransferase 	
CNAG_00087	C. neoformans var. grubii H99	CneoH99_Chr01: 243,899 - 246,041 (-)	conserved hypothetical protein 	
CNAG_00088	C. neoformans var. grubii H99	CneoH99_Chr01: 246,479 - 247,967 (-)	prohibitin PHB1 	
CNAG_00089	C. neoformans var. grubii H99	CneoH99_Chr01: 248,205 - 249,563 (-)	exosome complex exonuclease rrp4 	
CNAG_00090	C. neoformans var. grubii H99	CneoH99_Chr01: 249,912 - 251,676 (+)	conserved hypothetical protein 	
CNAG_00091	C. neoformans var. grubii H99	CneoH99_Chr01: 253,445 - 255,301 (+)	conserved hypothetical protein 	
CNAG_00092	C. neoformans var. grubii H99	CneoH99_Chr01: 256,029 - 256,635 (+)	mitochondrial protein 	
CNAG_00093	C. neoformans var. grubii H99	CneoH99_Chr01: 256,916 - 259,695 (-)	conserved hypothetical protein 	
CNAG_00094	C. neoformans var. grubii H99	CneoH99_Chr01: 261,275 - 262,715 (+)	NAD-dependent epimerase/dehydratase 	
CNAG_00095	C. neoformans var. grubii H99	CneoH99_Chr01: 262,739 - 266,546 (-)	conserved hypothetical protein 	
CNAG_00096	C. neoformans var. grubii H99	CneoH99_Chr01: 266,923 - 268,587 (+)	conserved hypothetical protein 	
CNAG_00097	C. neoformans var. grubii H99	CneoH99_Chr01: 268,906 - 271,370 (-)	ITR1 	
CNAG_00098	C. neoformans var. grubii H99	CneoH99_Chr01: 273,772 - 275,116 (+)	palmitoyl-protein thioesterase 	
CNAG_00099	C. neoformans var. grubii H99	CneoH99_Chr01: 275,145 - 278,008 (-)	ATP dependent DNA helicase 	
CNAG_00100	C. neoformans var. grubii H99	CneoH99_Chr01: 278,253 - 280,347 (+)	chaperone 	
CNAG_00101	C. neoformans var. grubii H99	CneoH99_Chr01: 280,893 - 281,839 (-)	conserved hypothetical protein 	
CNAG_00104	C. neoformans var. grubii H99	CneoH99_Chr01: 285,901 - 289,651 (+)	mRNA export factor elf1 	
CNAG_00105	C. neoformans var. grubii H99	CneoH99_Chr01: 289,668 - 291,138 (-)	pyridoxal reductase 	
CNAG_00106	C. neoformans var. grubii H99	CneoH99_Chr01: 292,159 - 296,404 (-)	two-component sensor molecule 	
CNAG_00107	C. neoformans var. grubii H99	CneoH99_Chr01: 297,451 - 299,293 (+)	conserved hypothetical protein 	
CNAG_00108	C. neoformans var. grubii H99	CneoH99_Chr01: 299,345 - 300,950 (-)	RuvB-like helicase 1 	
CNAG_00109	C. neoformans var. grubii H99	CneoH99_Chr01: 301,142 - 301,749 (+)	conserved hypothetical protein 	
CNAG_00110	C. neoformans var. grubii H99	CneoH99_Chr01: 301,754 - 304,135 (-)	conserved hypothetical protein 	
CNAG_00111	C. neoformans var. grubii H99	CneoH99_Chr01: 304,331 - 306,761 (+)	pre-mRNA splicing factor 	
CNAG_00115	C. neoformans var. grubii H99	CneoH99_Chr01: 312,397 - 313,780 (-)	sorbitol dehydrogenase 	
CNAG_00116	C. neoformans var. grubii H99	CneoH99_Chr01: 315,023 - 316,097 (+)	ribosomal protein S3 	
CNAG_00117	C. neoformans var. grubii H99	CneoH99_Chr01: 316,818 - 318,851 (-)	C-14 sterol reductase 	
CNAG_00118	C. neoformans var. grubii H99	CneoH99_Chr01: 319,109 - 319,753 (-)	conserved hypothetical protein 	
CNAG_00119	C. neoformans var. grubii H99	CneoH99_Chr01: 319,922 - 320,533 (+)	conserved hypothetical protein 	
CNAG_00120	C. neoformans var. grubii H99	CneoH99_Chr01: 320,757 - 321,650 (-)	predicted protein 	
CNAG_00121	C. neoformans var. grubii H99	CneoH99_Chr01: 321,989 - 323,966 (-)	glycerol-3-phosphate dehydrogenase-2 	
CNAG_00122	C. neoformans var. grubii H99	CneoH99_Chr01: 324,829 - 326,898 (-)	alpha-amylase 	
CNAG_00123	C. neoformans var. grubii H99	CneoH99_Chr01: 329,030 - 330,136 (-)	conserved hypothetical protein 	
CNAG_00124	C. neoformans var. grubii H99	CneoH99_Chr01: 330,632 - 332,816 (+)	CAS32p 	
CNAG_00125	C. neoformans var. grubii H99	CneoH99_Chr01: 335,372 - 337,716 (+)	Crg1 	
CNAG_00126	C. neoformans var. grubii H99	CneoH99_Chr01: 338,176 - 339,309 (-)	LSDR 	
CNAG_00127	C. neoformans var. grubii H99	CneoH99_Chr01: 341,653 - 343,375 (-)	conserved hypothetical protein 	
CNAG_00128	C. neoformans var. grubii H99	CneoH99_Chr01: 345,835 - 349,644 (+)	conserved hypothetical protein 	
CNAG_00129	C. neoformans var. grubii H99	CneoH99_Chr01: 350,694 - 352,471 (+)	conserved hypothetical protein 	
CNAG_00130	C. neoformans var. grubii H99	CneoH99_Chr01: 355,079 - 358,120 (+)	CAMK/CAMK1 protein kinase 	
CNAG_00131	C. neoformans var. grubii H99	CneoH99_Chr01: 358,451 - 360,205 (+)	alcohol dehydrogenase 	
CNAG_00132	C. neoformans var. grubii H99	CneoH99_Chr01: 360,605 - 362,888 (-)	conserved hypothetical protein 	
CNAG_00133	C. neoformans var. grubii H99	CneoH99_Chr01: 364,008 - 364,781 (+)	conserved hypothetical protein 	
CNAG_00134	C. neoformans var. grubii H99	CneoH99_Chr01: 365,087 - 367,719 (-)	conserved hypothetical protein 	
CNAG_00135	C. neoformans var. grubii H99	CneoH99_Chr01: 367,934 - 368,463 (+)	cyclophilin 	
CNAG_00136	C. neoformans var. grubii H99	CneoH99_Chr01: 368,537 - 372,320 (-)	ubiquitin activating enzyme 	
CNAG_00137	C. neoformans var. grubii H99	CneoH99_Chr01: 372,877 - 374,264 (-)	conserved hypothetical protein 	
CNAG_00138	C. neoformans var. grubii H99	CneoH99_Chr01: 374,563 - 375,896 (+)	ubiquinone biosynthesis methyltransferase 	
CNAG_00139	C. neoformans var. grubii H99	CneoH99_Chr01: 376,393 - 377,931 (-)	conserved hypothetical protein 	
CNAG_00140	C. neoformans var. grubii H99	CneoH99_Chr01: 379,094 - 380,786 (-)	U1 snRNP 70K protein 	
CNAG_00141	C. neoformans var. grubii H99	CneoH99_Chr01: 381,091 - 382,632 (+)	monooxygenase 	
CNAG_00142	C. neoformans var. grubii H99	CneoH99_Chr01: 383,256 - 385,996 (+)	conserved hypothetical protein 	
CNAG_00143	C. neoformans var. grubii H99	CneoH99_Chr01: 386,314 - 389,182 (+)	phosphoribosylamidoimidazole-succinocarboxamide synthase 	
CNAG_00144	C. neoformans var. grubii H99	CneoH99_Chr01: 389,200 - 390,317 (-)	conserved hypothetical protein 	
CNAG_00145	C. neoformans var. grubii H99	CneoH99_Chr01: 390,793 - 392,315 (+)	actin II 	
CNAG_00146	C. neoformans var. grubii H99	CneoH99_Chr01: 392,383 - 394,078 (-)	cytoplasmic protein 	
CNAG_00147	C. neoformans var. grubii H99	CneoH99_Chr01: 394,476 - 402,834 (+)	splicing factor Prp8 	
CNAG_00148	C. neoformans var. grubii H99	CneoH99_Chr01: 403,089 - 409,446 (+)	conserved hypothetical protein 	
CNAG_00149	C. neoformans var. grubii H99	CneoH99_Chr01: 410,511 - 411,379 (+)	conserved hypothetical protein 	
CNAG_00150	C. neoformans var. grubii H99	CneoH99_Chr01: 411,943 - 415,150 (+)	peptidase 	
CNAG_00151	C. neoformans var. grubii H99	CneoH99_Chr01: 415,767 - 418,296 (+)	peptide-binding protein 	
CNAG_00152	C. neoformans var. grubii H99	CneoH99_Chr01: 418,482 - 419,217 (-)	conserved hypothetical protein 	
CNAG_00153	C. neoformans var. grubii H99	CneoH99_Chr01: 419,597 - 422,049 (+)	conserved hypothetical protein 	
CNAG_00154	C. neoformans var. grubii H99	CneoH99_Chr01: 422,195 - 424,175 (-)	oxidoreductase 	
CNAG_00155	C. neoformans var. grubii H99	CneoH99_Chr01: 425,070 - 425,948 (-)	conserved hypothetical protein 	
CNAG_00156	C. neoformans var. grubii H99	CneoH99_Chr01: 427,608 - 431,302 (-)	conserved hypothetical protein 	
CNAG_00157	C. neoformans var. grubii H99	CneoH99_Chr01: 432,451 - 433,011 (+)	conserved hypothetical protein 	
CNAG_00158	C. neoformans var. grubii H99	CneoH99_Chr01: 433,000 - 435,354 (-)	glycosyltransferase 	
CNAG_00159	C. neoformans var. grubii H99	CneoH99_Chr01: 435,747 - 436,166 (+)	conserved hypothetical protein 	
CNAG_00160	C. neoformans var. grubii H99	CneoH99_Chr01: 436,421 - 437,840 (+)	conserved hypothetical protein 	
CNAG_00161	C. neoformans var. grubii H99	CneoH99_Chr01: 437,991 - 439,360 (-)	auxin-induced protein 	
CNAG_00162	C. neoformans var. grubii H99	CneoH99_Chr01: 439,702 - 441,372 (-)	alternative oxidase 	
CNAG_00163	C. neoformans var. grubii H99	CneoH99_Chr01: 442,897 - 446,445 (-)	conserved hypothetical protein 	
CNAG_00164	C. neoformans var. grubii H99	CneoH99_Chr01: 447,026 - 448,723 (-)	conserved hypothetical protein 	
CNAG_00165	C. neoformans var. grubii H99	CneoH99_Chr01: 450,141 - 451,491 (-)	5'-methylthioadenosine phosphorylase 	
CNAG_00166	C. neoformans var. grubii H99	CneoH99_Chr01: 452,414 - 454,593 (-)	ATP-dependent RNA helicase DBP8 	
CNAG_00167	C. neoformans var. grubii H99	CneoH99_Chr01: 454,912 - 457,078 (+)	conserved hypothetical protein 	
CNAG_00171	C. neoformans var. grubii H99	CneoH99_Chr01: 463,029 - 464,480 (+)	peroxisome assembly protein 	
CNAG_00172	C. neoformans var. grubii H99	CneoH99_Chr01: 465,163 - 468,612 (+)	kinesin 	
CNAG_00173	C. neoformans var. grubii H99	CneoH99_Chr01: 468,928 - 470,217 (+)	conserved hypothetical protein 	
CNAG_00174	C. neoformans var. grubii H99	CneoH99_Chr01: 470,276 - 474,300 (-)	conserved hypothetical protein 	
CNAG_00175	C. neoformans var. grubii H99	CneoH99_Chr01: 474,434 - 476,144 (+)	conserved hypothetical protein 	
CNAG_00176	C. neoformans var. grubii H99	CneoH99_Chr01: 476,178 - 478,539 (-)	glutamate carboxypeptidase protein 	
CNAG_00177	C. neoformans var. grubii H99	CneoH99_Chr01: 478,898 - 480,656 (+)	conserved hypothetical protein 	
CNAG_00178	C. neoformans var. grubii H99	CneoH99_Chr01: 481,116 - 485,201 (-)	MUS42 	
CNAG_00179	C. neoformans var. grubii H99	CneoH99_Chr01: 488,572 - 489,963 (+)	heterotrimeric G protein alpha subunit B 	
CNAG_00180	C. neoformans var. grubii H99	CneoH99_Chr01: 490,541 - 491,683 (+)	carboxyl-terminal proteinase 	
CNAG_00181	C. neoformans var. grubii H99	CneoH99_Chr01: 491,674 - 493,761 (-)	macrophage erythroblast attacher isoform 1 	
CNAG_00182	C. neoformans var. grubii H99	CneoH99_Chr01: 494,040 - 494,963 (+)	retrograde transporter 	
CNAG_00183	C. neoformans var. grubii H99	CneoH99_Chr01: 497,352 - 498,567 (-)	alternative cyclin Pcl12 	
CNAG_00184	C. neoformans var. grubii H99	CneoH99_Chr01: 502,254 - 504,660 (+)	cleavage/polyadenylation specificity factor 	
CNAG_00185	C. neoformans var. grubii H99	CneoH99_Chr01: 504,945 - 506,322 (+)	conserved hypothetical protein 	
CNAG_00186	C. neoformans var. grubii H99	CneoH99_Chr01: 506,415 - 506,813 (-)	conserved hypothetical protein 	
CNAG_00187	C. neoformans var. grubii H99	CneoH99_Chr01: 507,083 - 509,382 (+)	conserved hypothetical protein 	
CNAG_00188	C. neoformans var. grubii H99	CneoH99_Chr01: 508,958 - 510,385 (-)	endoplasmic reticulum protein 	
CNAG_00189	C. neoformans var. grubii H99	CneoH99_Chr01: 510,723 - 512,047 (+)	conserved hypothetical protein 	
CNAG_00190	C. neoformans var. grubii H99	CneoH99_Chr01: 512,285 - 514,325 (+)	conserved hypothetical protein 	
CNAG_00191	C. neoformans var. grubii H99	CneoH99_Chr01: 514,802 - 516,443 (+)	conserved hypothetical protein 	
CNAG_00192	C. neoformans var. grubii H99	CneoH99_Chr01: 517,793 - 521,395 (+)	conserved hypothetical protein 	
CNAG_00193	C. neoformans var. grubii H99	CneoH99_Chr01: 521,704 - 525,942 (-)	transcriptional activator 	
CNAG_00194	C. neoformans var. grubii H99	CneoH99_Chr01: 528,474 - 529,360 (+)	conserved hypothetical protein 	
CNAG_00195	C. neoformans var. grubii H99	CneoH99_Chr01: 529,578 - 530,388 (-)	conserved hypothetical protein 	
CNAG_00229	C. neoformans var. grubii H99	CneoH99_Chr01: 607,986 - 608,622 (+)	predicted protein 	
CNAG_00231	C. neoformans var. grubii H99	CneoH99_Chr01: 610,159 - 611,736 (+)	conserved hypothetical protein 	
CNAG_00232	C. neoformans var. grubii H99	CneoH99_Chr01: 611,791 - 612,527 (-)	60s ribosomal protein l30-1 	
CNAG_00233	C. neoformans var. grubii H99	CneoH99_Chr01: 612,814 - 613,225 (+)	chaperone protein 	
CNAG_00234	C. neoformans var. grubii H99	CneoH99_Chr01: 613,927 - 615,256 (+)	tRNA-dihydrouridine synthase 	
CNAG_00235	C. neoformans var. grubii H99	CneoH99_Chr01: 615,287 - 617,537 (-)	ammonium transporter MEP1 	
CNAG_00236	C. neoformans var. grubii H99	CneoH99_Chr01: 618,337 - 619,853 (+)	8-amino-7-oxononanoatesynthase 	
CNAG_00237	C. neoformans var. grubii H99	CneoH99_Chr01: 620,671 - 623,182 (+)	3-isopropylmalate dehydratase 	
CNAG_00238	C. neoformans var. grubii H99	CneoH99_Chr01: 623,941 - 627,668 (+)	isoleucine-tRNA ligase 	
CNAG_00239	C. neoformans var. grubii H99	CneoH99_Chr01: 628,128 - 630,490 (-)	conserved hypothetical protein 	
CNAG_00240	C. neoformans var. grubii H99	CneoH99_Chr01: 630,798 - 634,045 (+)	conserved hypothetical protein 	
CNAG_00241	C. neoformans var. grubii H99	CneoH99_Chr01: 635,045 - 637,248 (+)	arginine methyltransferase-interacting ring finger protein 	
CNAG_00242	C. neoformans var. grubii H99	CneoH99_Chr01: 637,774 - 638,197 (-)	predicted protein 	
CNAG_00243	C. neoformans var. grubii H99	CneoH99_Chr01: 640,335 - 640,993 (-)	conserved hypothetical protein 	
CNAG_00246	C. neoformans var. grubii H99	CneoH99_Chr01: 646,532 - 648,720 (-)	conserved hypothetical protein 	
CNAG_00247	C. neoformans var. grubii H99	CneoH99_Chr01: 649,025 - 652,610 (+)	saccharopine dehydrogenase 	
CNAG_00248	C. neoformans var. grubii H99	CneoH99_Chr01: 652,672 - 654,584 (-)	conserved hypothetical protein 	
CNAG_00249	C. neoformans var. grubii H99	CneoH99_Chr01: 655,563 - 657,065 (+)	conserved hypothetical protein 	
CNAG_00250	C. neoformans var. grubii H99	CneoH99_Chr01: 657,979 - 659,568 (+)	conserved hypothetical protein 	
CNAG_00251	C. neoformans var. grubii H99	CneoH99_Chr01: 660,118 - 661,320 (+)	conserved hypothetical protein 	
CNAG_00252	C. neoformans var. grubii H99	CneoH99_Chr01: 661,379 - 662,001 (-)	transcriptional elongation regulator 	
CNAG_00253	C. neoformans var. grubii H99	CneoH99_Chr01: 662,258 - 665,273 (+)	rsec15 	
CNAG_00254	C. neoformans var. grubii H99	CneoH99_Chr01: 665,714 - 667,273 (+)	NADH dehydrogenase 	
CNAG_00255	C. neoformans var. grubii H99	CneoH99_Chr01: 667,625 - 668,043 (-)	conserved hypothetical protein 	
CNAG_00256	C. neoformans var. grubii H99	CneoH99_Chr01: 668,235 - 669,452 (+)	aspartate-semialdehyde dehydrogenase 	
CNAG_00257	C. neoformans var. grubii H99	CneoH99_Chr01: 669,633 - 675,329 (-)	kinesin family member 21A 	
CNAG_00258	C. neoformans var. grubii H99	CneoH99_Chr01: 676,394 - 680,311 (-)	conserved hypothetical protein 	
CNAG_00259	C. neoformans var. grubii H99	CneoH99_Chr01: 680,785 - 681,872 (+)	bud site selection protein 	
CNAG_00260	C. neoformans var. grubii H99	CneoH99_Chr01: 682,496 - 683,925 (-)	transformer-2-beta isoform 3 	
CNAG_00261	C. neoformans var. grubii H99	CneoH99_Chr01: 686,831 - 688,539 (+)	conserved hypothetical protein 	
CNAG_00262	C. neoformans var. grubii H99	CneoH99_Chr01: 688,113 - 688,673 (-)	conserved hypothetical protein 	
CNAG_00263	C. neoformans var. grubii H99	CneoH99_Chr01: 689,599 - 690,658 (-)	serine/threonine/tyrosine-interacting protein 	
CNAG_00264	C. neoformans var. grubii H99	CneoH99_Chr01: 691,450 - 693,586 (-)	nuclease I 	
CNAG_00265	C. neoformans var. grubii H99	CneoH99_Chr01: 693,999 - 695,234 (+)	isopentenyl-diphosphate delta-isomerase 	
CNAG_00266	C. neoformans var. grubii H99	CneoH99_Chr01: 695,322 - 696,194 (-)	conserved hypothetical protein 	
CNAG_00267	C. neoformans var. grubii H99	CneoH99_Chr01: 696,416 - 698,355 (+)	conserved hypothetical protein 	
CNAG_00268	C. neoformans var. grubii H99	CneoH99_Chr01: 698,368 - 701,005 (-)	acetolactate synthase 	
CNAG_00269	C. neoformans var. grubii H99	CneoH99_Chr01: 701,903 - 703,626 (+)	sorbitol dehydrogenase 	
CNAG_00270	C. neoformans var. grubii H99	CneoH99_Chr01: 704,213 - 705,049 (+)	mitochondrial protein 	
CNAG_00271	C. neoformans var. grubii H99	CneoH99_Chr01: 705,064 - 706,064 (-)	nuclear protein 	
CNAG_00272	C. neoformans var. grubii H99	CneoH99_Chr01: 706,514 - 712,842 (+)	conserved hypothetical protein 	
CNAG_00273	C. neoformans var. grubii H99	CneoH99_Chr01: 713,137 - 713,565 (-)	conserved hypothetical protein 	
CNAG_00274	C. neoformans var. grubii H99	CneoH99_Chr01: 713,824 - 716,238 (+)	conserved hypothetical protein 	
CNAG_00275	C. neoformans var. grubii H99	CneoH99_Chr01: 716,127 - 717,502 (-)	conserved hypothetical protein 	
