[Gene ID]	[source_id]	[Genomic Location (Gene)]	[Product Description]	
CNAG_00031	CNAG_00031-t26_1	CP003820.1:92,930..96,641(-)	hypothetical protein, hypothetical protein, variant	
CNAG_00031	CNAG_00031-t26_2	CP003820.1:92,930..96,641(-)	hypothetical protein, hypothetical protein, variant	
CNAG_00032	CNAG_00032-t26_1	CP003820.1:96,762..99,351(+)	2,4-dihydroxyhept-2-ene-1,7-dioic acid aldolase	
CNAG_00033	CNAG_00033-t26_1	CP003820.1:99,045..99,578(-)	hypothetical protein	
CNAG_00034	CNAG_00034-t26_1	CP003820.1:101,060..102,696(+)	large subunit ribosomal protein L9e	
CNAG_00035	CNAG_00035-t26_1	CP003820.1:103,866..108,818(+)	hypothetical protein	
CNAG_00036	CNAG_00036-t26_1	CP003820.1:108,777..110,347(-)	phosphatidylinositol/phosphatidylcholine transfer protein	
CNAG_00038	CNAG_00038-t26_1	CP003820.1:113,347..115,885(-)	alcohol dehydrogenase	
CNAG_00039	CNAG_00039-t26_1	CP003820.1:118,380..123,586(+)	hypothetical protein	
CNAG_00040	CNAG_00040-t26_1	CP003820.1:123,979..126,449(+)	lanosterol 14-alpha-demethylase	
CNAG_00043	CNAG_00043-t26_1	CP003820.1:128,932..132,396(-)	hypothetical protein, hypothetical protein, variant	
CNAG_00043	CNAG_00043-t26_2	CP003820.1:128,932..132,396(-)	hypothetical protein, hypothetical protein, variant	
CNAG_00044	CNAG_00044-t26_1	CP003820.1:132,488..136,450(+)	ribosome assembly protein 1	
CNAG_00045	CNAG_00045-t26_1	CP003820.1:136,325..137,902(-)	hypothetical protein	
CNAG_00046	CNAG_00046-t26_1	CP003820.1:138,051..139,691(+)	26S proteasome regulatory subunit N8	
CNAG_00047	CNAG_00047-t26_1	CP003820.1:139,535..141,970(-)	pyruvate dehydrogenase kinase	
CNAG_00048	CNAG_00048-t26_1	CP003820.1:142,132..144,707(-)	sugar transporter	
CNAG_00049	CNAG_00049-t26_1	CP003820.1:144,928..147,198(+)	hypothetical protein	
CNAG_00050	CNAG_00050-t26_1	CP003820.1:146,729..148,175(-)	hypothetical protein	
CNAG_00051	CNAG_00051-t26_1	CP003820.1:148,336..155,003(-)	putative set3c deacetylase complex subunit	
CNAG_00051	CNAG_00051-t26_2	CP003820.1:148,336..155,003(-)	putative set3c deacetylase complex subunit	
CNAG_00052	CNAG_00052-t26_1	CP003820.1:154,270..154,990(+)	hypothetical protein	
CNAG_00053	CNAG_00053-t26_1	CP003820.1:155,149..156,184(+)	hypothetical protein	
CNAG_00054	CNAG_00054-t26_1	CP003820.1:156,009..157,280(-)	hypothetical protein	
CNAG_00055	CNAG_00055-t26_1	CP003820.1:157,458..158,951(+)	hypothetical protein	
CNAG_00056	CNAG_00056-t26_1	CP003820.1:159,061..161,420(+)	hypothetical protein	
CNAG_00057	CNAG_00057-t26_1	CP003820.1:161,616..163,256(-)	fructose-1,6-bisphosphatase I	
CNAG_00058	CNAG_00058-t26_1	CP003820.1:163,415..166,225(-)	T-complex protein 1 subunit epsilon	
CNAG_00059	CNAG_00059-t26_1	CP003820.1:166,381..167,435(+)	hypothetical protein	
CNAG_00060	CNAG_00060-t26_1	CP003820.1:167,388..169,095(-)	chaperone regulator, chaperone regulator, variant	
CNAG_00060	CNAG_00060-t26_2	CP003820.1:167,388..169,095(-)	chaperone regulator, chaperone regulator, variant	
CNAG_00061	CNAG_00061-t26_1	CP003820.1:169,187..172,162(+)	citrate synthase, mitochondrial	
CNAG_00062	CNAG_00062-t26_1	CP003820.1:172,122..174,256(-)	26S proteasome regulatory subunit N3	
CNAG_00063	CNAG_00063-t26_1	CP003820.1:174,412..175,908(+)	histone H3	
CNAG_00064	CNAG_00064-t26_1	CP003820.1:175,940..177,178(-)	COPII-coated vesicle protein	
CNAG_00065	CNAG_00065-t26_1	CP003820.1:177,266..179,242(+)	ran-binding protein 1	
CNAG_00066	CNAG_00066-t26_1	CP003820.1:178,748..183,622(-)	membrane protein	
CNAG_00067	CNAG_00067-t26_1	CP003820.1:183,994..186,412(+)	sec61 translocation complex protein	
CNAG_00068	CNAG_00068-t26_1	CP003820.1:188,641..192,558(+)	specific RNA polymerase II transcription factor	
CNAG_00069	CNAG_00069-t26_1	CP003820.1:192,685..193,944(+)	hypothetical protein	
CNAG_00070	CNAG_00070-t26_1	CP003820.1:194,625..197,662(+)	hypothetical protein	
CNAG_00072	CNAG_00072-t26_1	CP003820.1:199,185..201,197(+)	protein disulfide-isomerase	
CNAG_00073	CNAG_00073-t26_1	CP003820.1:201,141..205,190(-)	nuclear mRNA splicing protein	
CNAG_00074	CNAG_00074-t26_1	CP003820.1:205,405..208,337(+)	protein PNS1	
CNAG_00075	CNAG_00075-t26_1	CP003820.1:208,302..209,325(-)	hypothetical protein	
CNAG_00076	CNAG_00076-t26_1	CP003820.1:209,522..212,040(+)	A/G-specific adenine glycosylase	
CNAG_00077	CNAG_00077-t26_1	CP003820.1:213,364..216,529(+)	solute carrier family 26 (sodium-independent sulfate anion transporter), member 11	
CNAG_00078	CNAG_00078-t26_1	CP003820.1:216,693..221,442(+)	vacuolar protein	
CNAG_00079	CNAG_00079-t26_1	CP003820.1:223,148..224,648(+)	hypothetical protein	
CNAG_00080	CNAG_00080-t26_1	CP003820.1:225,190..227,173(-)	hypothetical protein	
CNAG_00081	CNAG_00081-t26_1	CP003820.1:227,600..230,987(-)	pre-mRNA-processing factor 6	
CNAG_00082	CNAG_00082-t26_1	CP003820.1:231,128..232,389(+)	cytosolic Fe-S cluster assembly factor CFD1	
CNAG_00083	CNAG_00083-t26_1	CP003820.1:232,292..235,608(-)	hypothetical protein	
CNAG_00084	CNAG_00084-t26_1	CP003820.1:235,727..240,205(+)	glutamine-tRNA ligase	
CNAG_00085	CNAG_00085-t26_1	CP003820.1:239,749..240,880(-)	histone chaperone ASF1	
CNAG_00086	CNAG_00086-t26_1	CP003820.1:241,037..243,443(+)	N2,N2-dimethylguanosine tRNA methyltransferase	
CNAG_00087	CNAG_00087-t26_1	CP003820.1:243,385..246,325(-)	hypothetical protein	
CNAG_00088	CNAG_00088-t26_1	CP003820.1:246,364..248,042(-)	prohibitin PHB1	
CNAG_00089	CNAG_00089-t26_1	CP003820.1:248,164..249,658(-)	exosome complex component RRP4	
CNAG_00090	CNAG_00090-t26_1	CP003820.1:249,808..251,998(+)	hypothetical protein, hypothetical protein, variant	
CNAG_00090	CNAG_00090-t26_2	CP003820.1:249,808..251,998(+)	hypothetical protein, hypothetical protein, variant	
CNAG_00091	CNAG_00091-t26_1	CP003820.1:253,176..255,431(+)	hypothetical protein	
CNAG_00092	CNAG_00092-t26_1	CP003820.1:255,971..256,887(+)	mitochondrial protein	
CNAG_00093	CNAG_00093-t26_1	CP003820.1:256,786..259,847(-)	hypothetical protein	
CNAG_00094	CNAG_00094-t26_1	CP003820.1:261,099..266,618(+)	NAD-dependent epimerase/dehydratase	
CNAG_00095	CNAG_00095-t26_1	CP003820.1:262,667..266,611(-)	hypothetical protein	
CNAG_00096	CNAG_00096-t26_1	CP003820.1:266,894..269,828(+)	hypothetical protein	
CNAG_00097	CNAG_00097-t26_1	CP003820.1:268,618..271,508(-)	myo-inositol transporter	
CNAG_00098	CNAG_00098-t26_1	CP003820.1:272,002..275,122(+)	palmitoyl-protein thioesterase	
CNAG_00099	CNAG_00099-t26_1	CP003820.1:275,074..278,185(-)	minichromosome maintenance protein 3	
CNAG_00100	CNAG_00100-t26_1	CP003820.1:278,215..280,449(+)	stress-induced-phosphoprotein 1	
CNAG_00101	CNAG_00101-t26_1	CP003820.1:280,655..281,937(-)	hypothetical protein	
CNAG_00104	CNAG_00104-t26_1	CP003820.1:285,629..289,652(+)	elongation factor 3	
CNAG_00105	CNAG_00105-t26_1	CP003820.1:289,668..291,138(-)	pyridoxal reductase	
CNAG_00106	CNAG_00106-t26_1	CP003820.1:291,733..296,779(-)	two-component-like sensor kinase	
CNAG_00107	CNAG_00107-t26_1	CP003820.1:297,372..299,433(+)	hypothetical protein	
CNAG_00108	CNAG_00108-t26_1	CP003820.1:299,208..301,000(-)	RuvB-like helicase 1	
CNAG_00109	CNAG_00109-t26_1	CP003820.1:301,104..302,469(+)	large subunit ribosomal protein L34, large subunit ribosomal protein L34, variant	
CNAG_00109	CNAG_00109-t26_2	CP003820.1:301,104..302,469(+)	large subunit ribosomal protein L34, large subunit ribosomal protein L34, variant	
CNAG_00110	CNAG_00110-t26_1	CP003820.1:301,732..304,157(-)	hypothetical protein	
CNAG_00111	CNAG_00111-t26_1	CP003820.1:304,310..306,821(+)	splicing factor 3A subunit 1	
CNAG_00115	CNAG_00115-t26_1	CP003820.1:312,208..313,854(-)	chlorophyll synthesis pathway protein BchC	
CNAG_00116	CNAG_00116-t26_1	CP003820.1:314,961..316,766(+)	small subunit ribosomal protein S3	
CNAG_00117	CNAG_00117-t26_1	CP003820.1:316,447..318,942(-)	delta14-sterol reductase	
CNAG_00118	CNAG_00118-t26_1	CP003820.1:319,005..320,207(-)	hypothetical protein	
CNAG_00119	CNAG_00119-t26_1	CP003820.1:319,753..320,669(+)	hypothetical protein	
CNAG_00120	CNAG_00120-t26_1	CP003820.1:320,587..321,863(-)	hypothetical protein	
CNAG_00121	CNAG_00121-t26_1	CP003820.1:321,919..324,099(-)	glycerol-3-phosphate dehydrogenase (NAD(+))	
CNAG_00122	CNAG_00122-t26_1	CP003820.1:324,325..327,655(-)	alpha-amylase	
CNAG_00123	CNAG_00123-t26_1	CP003820.1:328,815..330,256(-)	hypothetical protein	
CNAG_00124	CNAG_00124-t26_1	CP003820.1:330,436..332,919(+)	hypothetical protein	
CNAG_00125	CNAG_00125-t26_1	CP003820.1:333,924..338,059(+)	regulator of G-protein signaling	
CNAG_00126	CNAG_00126-t26_1	CP003820.1:337,928..339,472(-)	2-deoxy-D-gluconate 3-dehydrogenase	
CNAG_00127	CNAG_00127-t26_1	CP003820.1:340,760..343,482(-)	hypothetical protein	
CNAG_00128	CNAG_00128-t26_1	CP003820.1:345,655..349,978(+)	hypothetical protein	
CNAG_00129	CNAG_00129-t26_1	CP003820.1:350,516..352,671(+)	hypothetical protein	
CNAG_00130	CNAG_00130-t26_1	CP003820.1:353,191..358,332(+)	predicted protein kinase	
CNAG_00131	CNAG_00131-t26_1	CP003820.1:358,366..360,435(+)	alcohol dehydrogenase	
CNAG_00132	CNAG_00132-t26_1	CP003820.1:359,868..363,737(-)	hypothetical protein, hypothetical protein, variant	
CNAG_00132	CNAG_00132-t26_2	CP003820.1:359,868..363,737(-)	hypothetical protein, hypothetical protein, variant	
CNAG_00133	CNAG_00133-t26_1	CP003820.1:363,878..365,663(+)	hypothetical protein	
CNAG_00134	CNAG_00134-t26_1	CP003820.1:364,728..367,756(-)	hypothetical protein	
CNAG_00135	CNAG_00135-t26_1	CP003820.1:367,891..368,536(+)	cyclophilin	
CNAG_00136	CNAG_00136-t26_1	CP003820.1:368,453..372,492(-)	ubiquitin-activating enzyme E1	
CNAG_00137	CNAG_00137-t26_1	CP003820.1:372,525..374,449(-)	hypothetical protein	
CNAG_00138	CNAG_00138-t26_1	CP003820.1:374,491..375,914(+)	ubiquinone biosynthesis methyltransferase	
CNAG_00139	CNAG_00139-t26_1	CP003820.1:376,238..378,083(-)	hypothetical protein	
CNAG_00140	CNAG_00140-t26_1	CP003820.1:378,122..380,984(-)	U1 small nuclear ribonucleoprotein 70kDa	
CNAG_00141	CNAG_00141-t26_1	CP003820.1:380,991..382,652(+)	monooxygenase	
CNAG_00142	CNAG_00142-t26_1	CP003820.1:383,161..386,185(+)	hypothetical protein	
CNAG_00143	CNAG_00143-t26_1	CP003820.1:386,723..389,209(+)	phosphoribosylaminoimidazolesuccinocarboxamide synthase	
CNAG_00144	CNAG_00144-t26_1	CP003820.1:388,360..390,362(-)	hypothetical protein, hypothetical protein, variant	
CNAG_00144	CNAG_00144-t26_2	CP003820.1:388,360..390,362(-)	hypothetical protein, hypothetical protein, variant	
CNAG_00145	CNAG_00145-t26_1	CP003820.1:390,777..392,372(+)	actin-2	
CNAG_00146	CNAG_00146-t26_1	CP003820.1:392,221..394,205(-)	5'/3'-nucleotidase SurE	
CNAG_00147	CNAG_00147-t26_1	CP003820.1:394,406..402,916(+)	pre-mRNA-processing-splicing factor 8	
CNAG_00148	CNAG_00148-t26_1	CP003820.1:403,022..409,606(+)	hypothetical protein	
CNAG_00149	CNAG_00149-t26_1	CP003820.1:410,448..411,378(+)	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex 4	
CNAG_00150	CNAG_00150-t26_1	CP003820.1:411,635..415,418(+)	peptidase	
CNAG_00151	CNAG_00151-t26_1	CP003820.1:415,453..418,413(+)	transcription elongation regulator 1	
CNAG_00152	CNAG_00152-t26_1	CP003820.1:418,317..420,589(-)	hypothetical protein	
CNAG_00153	CNAG_00153-t26_1	CP003820.1:420,147..422,277(+)	hypothetical protein, hypothetical protein, variant	
CNAG_00153	CNAG_00153-t26_2	CP003820.1:420,147..422,277(+)	hypothetical protein, hypothetical protein, variant	
CNAG_00154	CNAG_00154-t26_1	CP003820.1:422,141..424,298(-)	oxidoreductase	
CNAG_00155	CNAG_00155-t26_1	CP003820.1:425,070..426,153(-)	hypothetical protein	
CNAG_00156	CNAG_00156-t26_1	CP003820.1:427,337..431,736(-)	zinc finger transcription factor	
CNAG_00156	CNAG_00156-t26_2	CP003820.1:427,337..431,736(-)	zinc finger transcription factor	
CNAG_00157	CNAG_00157-t26_1	CP003820.1:432,310..434,949(+)	hypothetical protein	
CNAG_00158	CNAG_00158-t26_1	CP003820.1:432,956..435,500(-)	glycosyltransferase	
CNAG_00159	CNAG_00159-t26_1	CP003820.1:435,654..436,227(+)	hypothetical protein	
CNAG_00160	CNAG_00160-t26_1	CP003820.1:436,421..437,840(+)	hypothetical protein	
CNAG_00161	CNAG_00161-t26_1	CP003820.1:437,925..439,612(-)	auxin-induced protein	
CNAG_00162	CNAG_00162-t26_1	CP003820.1:439,694..441,378(-)	alternative oxidase, mitochondrial	
CNAG_00163	CNAG_00163-t26_1	CP003820.1:442,441..446,465(-)	general transcription factor 3C polypeptide 4, general transcription factor 3C polypeptide 4, variant	
CNAG_00163	CNAG_00163-t26_2	CP003820.1:442,441..446,465(-)	general transcription factor 3C polypeptide 4, general transcription factor 3C polypeptide 4, variant	
CNAG_00164	CNAG_00164-t26_1	CP003820.1:446,801..448,902(-)	hypothetical protein	
CNAG_00165	CNAG_00165-t26_1	CP003820.1:450,086..451,512(-)	methylthioadenosine phosphorylase	
CNAG_00166	CNAG_00166-t26_1	CP003820.1:452,413..454,650(-)	ATP-dependent RNA helicase DBP8	
CNAG_00167	CNAG_00167-t26_1	CP003820.1:454,835..457,174(+)	hypothetical protein	
CNAG_00171	CNAG_00171-t26_1	CP003820.1:462,948..464,745(+)	peroxin-2	
CNAG_00172	CNAG_00172-t26_1	CP003820.1:464,871..468,754(+)	kinesin	
CNAG_00173	CNAG_00173-t26_1	CP003820.1:468,863..470,326(+)	hypothetical protein	
CNAG_00174	CNAG_00174-t26_1	CP003820.1:470,205..474,313(-)	hypothetical protein	
CNAG_00175	CNAG_00175-t26_1	CP003820.1:474,436..476,748(+)	hypothetical protein	
CNAG_00176	CNAG_00176-t26_1	CP003820.1:476,175..478,641(-)	glutamate carboxypeptidase, glutamate carboxypeptidase, variant	
CNAG_00176	CNAG_00176-t26_2	CP003820.1:476,175..478,641(-)	glutamate carboxypeptidase, glutamate carboxypeptidase, variant	
CNAG_00177	CNAG_00177-t26_1	CP003820.1:478,857..481,114(+)	hypothetical protein	
CNAG_00178	CNAG_00178-t26_1	CP003820.1:480,787..485,494(-)	DNA repair protein REV1	
CNAG_00179	CNAG_00179-t26_1	CP003820.1:487,738..490,235(+)	heterotrimeric G-protein coupled receptor alpha subunit	
CNAG_00179	CNAG_00179-t26_2	CP003820.1:487,738..490,235(+)	heterotrimeric G-protein coupled receptor alpha subunit	
CNAG_00180	CNAG_00180-t26_1	CP003820.1:490,456..491,829(+)	ubiquitin carboxyl-terminal hydrolase L3	
CNAG_00181	CNAG_00181-t26_1	CP003820.1:491,572..493,838(-)	putative fyv10 protein homolog	
CNAG_00182	CNAG_00182-t26_1	CP003820.1:493,982..495,576(+)	retrograde transporter, retrograde transporter, variant	
CNAG_00182	CNAG_00182-t26_2	CP003820.1:493,982..495,576(+)	retrograde transporter, retrograde transporter, variant	
CNAG_00183	CNAG_00183-t26_1	CP003820.1:497,322..499,987(-)	alternative cyclin Pcl12, alternative cyclin Pcl12, variant	
CNAG_00183	CNAG_00183-t26_2	CP003820.1:497,322..499,987(-)	alternative cyclin Pcl12, alternative cyclin Pcl12, variant	
CNAG_00184	CNAG_00184-t26_1	CP003820.1:501,993..504,713(+)	pre-mRNA cleavage complex 2 protein Pcf11	
CNAG_00185	CNAG_00185-t26_1	CP003820.1:504,860..506,369(+)	hypothetical protein	
CNAG_00186	CNAG_00186-t26_1	CP003820.1:506,208..506,869(-)	mitotic spindle organizing protein 1	
CNAG_00187	CNAG_00187-t26_1	CP003820.1:506,979..509,420(+)	ubiquitin carboxyl-terminal hydrolase 1	
CNAG_00188	CNAG_00188-t26_1	CP003820.1:509,367..510,502(-)	endoplasmic reticulum protein	
CNAG_00189	CNAG_00189-t26_1	CP003820.1:510,548..512,168(+)	hypothetical protein	
CNAG_00190	CNAG_00190-t26_1	CP003820.1:512,199..514,517(+)	hypothetical protein	
CNAG_00191	CNAG_00191-t26_1	CP003820.1:514,694..516,814(+)	etoposide-induced protein	
CNAG_00192	CNAG_00192-t26_1	CP003820.1:517,477..521,727(+)	hypothetical protein	
CNAG_00193	CNAG_00193-t26_1	CP003820.1:521,601..527,076(-)	gata type zinc finger protein	
CNAG_00194	CNAG_00194-t26_1	CP003820.1:528,137..529,544(+)	hypothetical protein	
CNAG_00195	CNAG_00195-t26_1	CP003820.1:529,461..530,493(-)	exosome complex protein LRP1	
CNAG_00229	CNAG_00229-t26_1	CP003820.1:605,109..608,819(+)	hypothetical protein	
CNAG_00231	CNAG_00231-t26_1	CP003820.1:610,021..611,837(+)	hypothetical protein	
CNAG_00232	CNAG_00232-t26_1	CP003820.1:611,559..612,551(-)	large subunit ribosomal protein L30e	
CNAG_00233	CNAG_00233-t26_1	CP003820.1:612,716..613,528(+)	chaperone protein	
CNAG_00234	CNAG_00234-t26_1	CP003820.1:613,832..615,352(+)	tRNA-dihydrouridine synthase 4	
CNAG_00235	CNAG_00235-t26_1	CP003820.1:615,273..619,433(-)	low-affinity ammonium transporter	
CNAG_00236	CNAG_00236-t26_1	CP003820.1:618,162..620,003(+)	8-amino-7-oxononanoate synthase	
CNAG_00237	CNAG_00237-t26_1	CP003820.1:620,496..623,276(+)	3-isopropylmalate dehydratase, large subunit	
CNAG_00238	CNAG_00238-t26_1	CP003820.1:623,757..627,715(+)	isoleucine-tRNA ligase	
CNAG_00239	CNAG_00239-t26_1	CP003820.1:627,739..630,595(-)	hypothetical protein	
CNAG_00240	CNAG_00240-t26_1	CP003820.1:630,758..634,241(+)	hypothetical protein	
CNAG_00241	CNAG_00241-t26_1	CP003820.1:634,697..637,755(+)	protein AIR1/2	
CNAG_00242	CNAG_00242-t26_1	CP003820.1:637,547..639,551(-)	hypothetical protein	
CNAG_00243	CNAG_00243-t26_1	CP003820.1:640,114..641,230(-)	hypothetical protein	
CNAG_00246	CNAG_00246-t26_1	CP003820.1:646,494..648,800(-)	hypothetical protein	
CNAG_00247	CNAG_00247-t26_1	CP003820.1:648,982..652,715(+)	saccharopine dehydrogenase	
CNAG_00248	CNAG_00248-t26_1	CP003820.1:650,254..654,640(-)	ESCRT-II complex subunit VPS36	
CNAG_00249	CNAG_00249-t26_1	CP003820.1:655,045..657,550(+)	hypothetical protein	
CNAG_00250	CNAG_00250-t26_1	CP003820.1:657,624..659,851(+)	hypothetical protein	
CNAG_00251	CNAG_00251-t26_1	CP003820.1:660,022..661,433(+)	hypothetical protein	
CNAG_00252	CNAG_00252-t26_1	CP003820.1:660,620..662,076(-)	transcription elongation factor B, polypeptide 1, transcription elongation factor B, polypeptide 1, variant	
CNAG_00252	CNAG_00252-t26_2	CP003820.1:660,620..662,076(-)	transcription elongation factor B, polypeptide 1, transcription elongation factor B, polypeptide 1, variant	
CNAG_00253	CNAG_00253-t26_1	CP003820.1:662,215..665,358(+)	hypothetical protein	
CNAG_00254	CNAG_00254-t26_1	CP003820.1:665,571..667,361(+)	NADH dehydrogenase	
CNAG_00255	CNAG_00255-t26_1	CP003820.1:667,321..668,060(-)	hypothetical protein	
CNAG_00256	CNAG_00256-t26_1	CP003820.1:668,165..669,531(+)	aspartate-semialdehyde dehydrogenase	
CNAG_00257	CNAG_00257-t26_1	CP003820.1:669,487..676,004(-)	kinesin family member 21A, kinesin family member 21A, variant	
CNAG_00257	CNAG_00257-t26_2	CP003820.1:669,487..676,004(-)	kinesin family member 21A, kinesin family member 21A, variant	
CNAG_00258	CNAG_00258-t26_1	CP003820.1:676,233..680,450(-)	hypothetical protein	
CNAG_00259	CNAG_00259-t26_1	CP003820.1:680,600..681,946(+)	bud site selection protein	
CNAG_00260	CNAG_00260-t26_1	CP003820.1:681,868..684,043(-)	transformer-2 protein	
CNAG_00261	CNAG_00261-t26_1	CP003820.1:686,605..688,802(+)	hypothetical protein	
CNAG_00262	CNAG_00262-t26_1	CP003820.1:687,819..689,048(-)	hypothetical protein, hypothetical protein, variant	
CNAG_00262	CNAG_00262-t26_2	CP003820.1:687,819..689,048(-)	hypothetical protein, hypothetical protein, variant	
CNAG_00263	CNAG_00263-t26_1	CP003820.1:689,206..691,031(-)	serine/threonine/tyrosine-interacting protein	
CNAG_00264	CNAG_00264-t26_1	CP003820.1:691,450..693,625(-)	nuclease I, nuclease I, variant	
CNAG_00264	CNAG_00264-t26_2	CP003820.1:691,450..693,625(-)	nuclease I, nuclease I, variant	
CNAG_00265	CNAG_00265-t26_1	CP003820.1:693,886..695,249(+)	isopentenyl-diphosphate delta-isomerase	
CNAG_00266	CNAG_00266-t26_1	CP003820.1:694,435..696,288(-)	hypothetical protein	
CNAG_00267	CNAG_00267-t26_1	CP003820.1:696,343..698,517(+)	hypothetical protein	
CNAG_00268	CNAG_00268-t26_1	CP003820.1:698,357..701,063(-)	acetolactate synthase, mitochondrial	
CNAG_00269	CNAG_00269-t26_1	CP003820.1:701,715..703,882(+)	sorbitol dehydrogenase	
CNAG_00270	CNAG_00270-t26_1	CP003820.1:704,148..705,057(+)	mitochondrial protein	
CNAG_00271	CNAG_00271-t26_1	CP003820.1:704,795..706,373(-)	INO80 complex subunit C	
CNAG_00272	CNAG_00272-t26_1	CP003820.1:706,386..712,926(+)	hypothetical protein	
CNAG_00273	CNAG_00273-t26_1	CP003820.1:712,370..713,626(-)	hypothetical protein	
CNAG_00274	CNAG_00274-t26_1	CP003820.1:713,765..716,986(+)	hypothetical protein	
CNAG_00275	CNAG_00275-t26_1	CP003820.1:715,554..718,057(-)	hypothetical protein	
CNAG_00276	CNAG_00276-t26_1	CP003820.1:717,571..719,412(+)	hypothetical protein	
CNAG_00277	CNAG_00277-t26_1	CP003820.1:719,461..720,694(+)	hypothetical protein	
CNAG_00278	CNAG_00278-t26_1	CP003820.1:720,421..721,966(-)	methionine aminopeptidase, type I	
