[Gene ID]	[source_id]	[Input Ortholog(s)]	[Ortholog Group]	[Paralog count]	[Ortholog count]	[Gene Name or Symbol]	
Afu1g03460	Afu1g03460-T	CNAG_05747	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_129256">OG5_129256</a>	0	83	N/A	
Afu1g03500	Afu1g03500-T	CNAG_04190	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_127702">OG5_127702</a>	0	98	N/A	
Afu1g03510	Afu1g03510-T	CNAG_02485	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_127077">OG5_127077</a>	0	89	N/A	
Afu1g03530	Afu1g03530-T	CNAG_03438,CNAG_03772,CNAG_04920,CNAG_04931,CNAG_05324,CNAG_05387,CNAG_06290,CNAG_06521	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_126798">OG5_126798</a>	8	645	N/A	
Afu1g03550	Afu1g03550-T	CNAG_05497	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_128618">OG5_128618</a>	1	152	ilv3B	
Afu1g03560	Afu1g03560-T	CNAG_00171	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_129729">OG5_129729</a>	0	78	pex2	
Afu1g03580	Afu1g03580-T	CNAG_04322	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_159082">OG5_159082</a>	0	26	N/A	
Afu1g03590	Afu1g03590-T	CNAG_05486	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_129934">OG5_129934</a>	0	94	N/A	
Afu1g03600	Afu1g03600-T	CNAG_02225	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_133540">OG5_133540</a>	0	117	exg1	
Afu1g03620	Afu1g03620-T	CNAG_03269	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_135109">OG5_135109</a>	1	66	N/A	
Afu1g03640	Afu1g03640-T	CNAG_01379	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_137396">OG5_137396</a>	0	35	N/A	
Afu1g03660	Afu1g03660-T	CNAG_00146	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_168739">OG5_168739</a>	0	30	N/A	
Afu1g03680	Afu1g03680-T	CNAG_06673	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_136510">OG5_136510</a>	0	62	N/A	
Afu1g03710	Afu1g03710-T	CNAG_03261	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_129325">OG5_129325</a>	0	78	N/A	
Afu1g03720	Afu1g03720-T	CNAG_00902,CNAG_02978	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_128377">OG5_128377</a>	0	117	N/A	
Afu1g03730	Afu1g03730-T	CNAG_00443	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_128462">OG5_128462</a>	2	180	N/A	
Afu1g03740	Afu1g03740-T	CNAG_00309	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_128101">OG5_128101</a>	1	204	N/A	
Afu1g03760	Afu1g03760-T	CNAG_01616	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_128851">OG5_128851</a>	1	167	N/A	
Afu1g03810	Afu1g03810-T	CNAG_00473	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_129124">OG5_129124</a>	0	83	N/A	
Afu1g03820	Afu1g03820-T	CNAG_00960,CNAG_01734,CNAG_02303,CNAG_06626	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_126599">OG5_126599</a>	3	355	N/A	
Afu1g03830	Afu1g03830-T	CNAG_00510	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_128303">OG5_128303</a>	0	79	N/A	
Afu1g03840	Afu1g03840-T	CNAG_02215	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_127594">OG5_127594</a>	0	120	N/A	
Afu1g03870	Afu1g03870-T	CNAG_02543	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_131275">OG5_131275</a>	0	81	N/A	
Afu1g03890	Afu1g03890-T	CNAG_02505	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_127681">OG5_127681</a>	0	141	N/A	
Afu1g03920	Afu1g03920-T	CNAG_00099	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_128134">OG5_128134</a>	0	81	N/A	
Afu1g03940	Afu1g03940-T	CNAG_05240	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_128493">OG5_128493</a>	0	109	N/A	
Afu1g03950	Afu1g03950-T	CNAG_06644	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_131167">OG5_131167</a>	0	68	erg5	
Afu1g03960	Afu1g03960-T	CNAG_02891	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_127795">OG5_127795</a>	0	65	N/A	
Afu1g03970	Afu1g03970-T	CNAG_03606	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_127312">OG5_127312</a>	0	89	N/A	
Afu1g04010	Afu1g04010-T	CNAG_06665	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_129226">OG5_129226</a>	0	97	N/A	
Afu1g04020	Afu1g04020-T	CNAG_06048	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_128025">OG5_128025</a>	0	82	N/A	
Afu1g04040	Afu1g04040-T	CNAG_00370	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_128257">OG5_128257</a>	0	97	ubiA	
Afu1g04070	Afu1g04070-T	CNAG_01428	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_126922">OG5_126922</a>	0	102	N/A	
Afu1g04080	Afu1g04080-T	CNAG_03324	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_127921">OG5_127921</a>	0	89	N/A	
Afu1g04090	Afu1g04090-T	CNAG_00692	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_127956">OG5_127956</a>	0	77	N/A	
Afu1g04120	Afu1g04120-T	CNAG_05031	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_127302">OG5_127302</a>	2	114	N/A	
