[Gene ID]	[source_id]	[Genomic Location (Gene)]	[Product Description]	
YAL011W	YAL011W-t26_1	BK006935:132,199..134,076(+)	Swc3p	
YAL012W	YAL012W-t26_1	BK006935:130,799..131,983(+)	cystathionine gamma-lyase CYS3	
YAL013W	YAL013W-t26_1	BK006935:129,270..130,487(+)	Rpd3L histone deacetylase complex subunit DEP1	
YAL014C	YAL014C-t26_1	BK006935:128,252..129,019(-)	syntaxin	
YAL015C	YAL015C-t26_1	BK006935:126,903..128,102(-)	bifunctional N-glycosylase/AP lyase NTG1	
YAL016W	YAL016W-t26_1	BK006935:124,879..126,786(+)	protein phosphatase 2A structural subunit TPD3	
YAL017W	YAL017W-t26_1	BK006935:120,225..124,295(+)	serine/threonine protein kinase PSK1	
YAL018C	YAL018C-t26_1	BK006935:118,564..119,541(-)	Lds1p	
YAL019W	YAL019W-t26_1	BK006935:114,919..118,314(+)	DNA-dependent ATPase FUN30	
YAL020C	YAL020C-t26_1	BK006935:113,614..114,615(-)	Ats1p	
YAL021C	YAL021C-t26_1	BK006935:110,846..113,359(-)	CCR4-NOT core exoribonuclease subunit CCR4	
YAL022C	YAL022C-t26_1	BK006935:108,877..110,430(-)	nucleoside transmembrane transporter FUN26	
YAL023C	YAL023C-t26_1	BK006935:106,272..108,551(-)	dolichyl-phosphate-mannose-protein mannosyltransferase PMT2	
YAL024C	YAL024C-t26_1	BK006935:101,565..105,872(-)	mitotic regulator LTE1	
YAL025C	YAL025C-t26_1	BK006935:100,225..101,145(-)	ribosome biosynthesis protein MAK16	
YAL026C	YAL026C-t26_1	BK006935:95,630..99,697(-)	aminophospholipid-translocating P4-type ATPase DRS2	
YAL027W	YAL027W-t26_1	BK006935:94,687..95,472(+)	DNA-binding protein SAW1	
YAL028W	YAL028W-t26_1	BK006935:92,900..94,486(+)	Frt2p	
YAL029C	YAL029C-t26_1	BK006935:87,855..92,270(-)	myosin 4	
YAL030W	YAL030W-t26_1	BK006935:87,286..87,752(+)	SNAP receptor SNC1	
YAL031C	YAL031C-t26_1	BK006935:84,749..87,031(-)	protein phosphatase regulator GIP4	
YAL032C	YAL032C-t26_1	BK006935:83,335..84,474(-)	mRNA splicing protein PRP45	
YAL033W	YAL033W-t26_1	BK006935:82,706..83,227(+)	RNA-binding protein POP5	
YAL034C	YAL034C-t26_1	BK006935:80,710..81,951(-)	Fun19p	
YAL034W-A	YAL034W-A-t26_1	BK006935:79,718..80,587(+)	MIND complex subunit MTW1	
YAL035W	YAL035W-t26_1	BK006935:76,427..79,435(+)	translation initiation factor eIF5B	
YAL036C	YAL036C-t26_1	BK006935:75,043..76,152(-)	GTP-binding protein RBG1	
YAL037C-A	YAL037C-A-t26_1	BK006935:73,426..73,518(-)	hypothetical protein	
YAL037W	YAL037W-t26_1	BK006935:74,020..74,823(+)	hypothetical protein	
YAL038W	YAL038W-t26_1	BK006935:71,786..73,288(+)	pyruvate kinase CDC19	
YAL039C	YAL039C-t26_1	BK006935:68,716..69,525(-)	holocytochrome c synthase CYC3	
YAL040C	YAL040C-t26_1	BK006935:65,778..67,520(-)	cyclin CLN3	
YAL041W	YAL041W-t26_1	BK006935:62,840..65,404(+)	Rho family guanine nucleotide exchange factor CDC24	
YAL042W	YAL042W-t26_1	BK006935:61,316..62,563(+)	Erv46p	
YAL043C	YAL043C-t26_1	BK006935:58,695..61,052(-)	RNA-processing protein PTA1	
YAL044C	YAL044C-t26_1	BK006935:57,950..58,462(-)	glycine decarboxylase subunit H	
YAL044W-A	YAL044W-A-t26_1	BK006935:57,518..57,850(+)	hypothetical protein	
YAL046C	YAL046C-t26_1	BK006935:57,029..57,385(-)	Aim1p	
YAL047C	YAL047C-t26_1	BK006935:54,989..56,857(-)	gamma-tubulin complex subunit SPC72	
YAL048C	YAL048C-t26_1	BK006935:52,801..54,789(-)	ERMES complex Ca(2+)-binding regulatory GTPase GEM1	
YAL049C	YAL049C-t26_1	BK006935:51,855..52,595(-)	protein AIM2	
YAL051W	YAL051W-t26_1	BK006935:48,564..51,707(+)	oleate-activated transcription factor OAF1	
YAL053W	YAL053W-t26_1	BK006935:45,899..48,250(+)	flavin adenine dinucleotide transporter FLC2	
YAL054C	YAL054C-t26_1	BK006935:42,881..45,022(-)	acetate--CoA ligase 1	
YAL055W	YAL055W-t26_1	BK006935:42,177..42,719(+)	ubiquitin-protein transferase activating protein PEX22	
YAL056W	YAL056W-t26_1	BK006935:39,259..41,901(+)	Gpb2p	
YAL058W	YAL058W-t26_1	BK006935:37,464..38,972(+)	calnexin	
YAL059W	YAL059W-t26_1	BK006935:36,509..37,147(+)	Ecm1p	
YAL060W	YAL060W-t26_1	BK006935:35,155..36,303(+)	(R,R)-butanediol dehydrogenase	
YAL061W	YAL061W-t26_1	BK006935:33,448..34,701(+)	putative dehydrogenase BDH2	
YAL062W	YAL062W-t26_1	BK006935:31,567..32,940(+)	glutamate dehydrogenase (NADP(+)) GDH3	
YAL063C	YAL063C-t26_1	BK006935:24,000..27,968(-)	flocculin FLO9	
YAL063C-A	YAL063C-A-t26_1	BK006935:22,395..22,685(-)	hypothetical protein	
YAL064C-A	YAL064C-A-t26_1	BK006935:13,363..13,743(-)	Tda8p	
YAL064W	YAL064W-t26_1	BK006935:21,566..21,850(+)	hypothetical protein	
YAL064W-B	YAL064W-B-t26_1	BK006935:12,046..12,426(+)	hypothetical protein	
YAL065C	YAL065C-t26_1	BK006935:11,565..11,951(-)	hypothetical protein	
YAL067C	YAL067C-t26_1	BK006935:7,235..9,016(-)	putative permease SEO1	
YAL067W-A	YAL067W-A-t26_1	BK006935:2,480..2,707(+)	hypothetical protein	
YAL068C	YAL068C-t26_1	BK006935:1,807..2,169(-)	seripauperin PAU8	
YAR002C-A	YAR002C-A-t26_1	BK006935:154,065..154,724(-)	Erp1p	
YAR002W	YAR002W-t26_1	BK006935:152,257..153,876(+)	FG-nucleoporin NUP60	
YAR003W	YAR003W-t26_1	BK006935:155,005..156,285(+)	COMPASS subunit protein SWD1	
YAR007C	YAR007C-t26_1	BK006935:156,754..158,619(-)	replication factor A subunit protein RFA1	
YAR008W	YAR008W-t26_1	BK006935:158,966..159,793(+)	tRNA splicing endonuclease subunit SEN34	
YAR009C	YAR009C-t26_1	BK006935:160,597..164,187(-)	truncated gag-pol fusion protein	
YAR010C	YAR010C-t26_1	BK006935:164,544..165,866(-)	gag protein	
YAR014C	YAR014C-t26_1	BK006935:166,742..168,871(-)	protein phosphatase regulator BUD14	
YAR015W	YAR015W-t26_1	BK006935:169,375..170,295(+)	phosphoribosylaminoimidazolesuccinocarboxamide synthase	
YAR018C	YAR018C-t26_1	BK006935:170,396..171,703(-)	serine/threonine protein kinase KIN3	
YAR019C	YAR019C-t26_1	BK006935:172,211..175,135(-)	serine/threonine protein kinase CDC15	
YAR020C	YAR020C-t26_1	BK006935:176,856..177,023(-)	seripauperin PAU7	
YAR023C	YAR023C-t26_1	BK006935:179,281..179,820(-)	DUP240 family protein	
YAR027W	YAR027W-t26_1	BK006935:183,770..184,477(+)	DUP240 family protein UIP3	
YAR028W	YAR028W-t26_1	BK006935:184,892..185,596(+)	DUP240 family protein	
YAR029W	YAR029W-t26_1	BK006935:186,321..186,545(+)	DUP240 family protein	
YAR031W	YAR031W-t26_1	BK006935:186,836..187,732(+)	pheromone-regulated DUP240 family protein PRM9	
YAR033W	YAR033W-t26_1	BK006935:188,107..188,811(+)	DUP240 family protein MST28	
YAR035C-A	YAR035C-A-t26_1	BK006935:192,337..192,417(-)	hypothetical protein	
YAR035W	YAR035W-t26_1	BK006935:190,193..192,256(+)	carnitine O-acetyltransferase YAT1	
YAR042W	YAR042W-t26_1	BK006935:192,619..196,185(+)	oxysterol-binding protein related protein SWH1	
YAR050W	YAR050W-t26_1	BK006935:203,403..208,016(+)	flocculin FLO1	
YAR061W	YAR061W-t26_1	BK006935:218,140..219,145(+)	unspecified product	
YAR064W	YAR064W-t26_1	BK006935:220,198..220,497(+)	hypothetical protein	
YAR066W	YAR066W-t26_1	BK006935:221,049..221,660(+)	hypothetical protein	
YAR068W	YAR068W-t26_1	BK006935:222,406..222,891(+)	hypothetical protein	
YAR071W	YAR071W-t26_1	BK006935:225,460..226,863(+)	acid phosphatase PHO11	
YBL001C	YBL001C-t26_1	BK006936:237,153..237,467(-)	Ecm15p	
YBL002W	YBL002W-t26_1	BK006936:236,492..236,887(+)	histone H2B	
YBL003C	YBL003C-t26_1	BK006936:235,394..235,792(-)	histone H2A	
YBL004W	YBL004W-t26_1	BK006936:227,636..235,117(+)	Utp20p	
YBL005W	YBL005W-t26_1	BK006936:217,470..220,400(+)	drug-responsive transcription factor PDR3	
YBL005W-A	YBL005W-A-t26_1	BK006936:221,330..222,652(+)	gag protein	
YBL005W-B	YBL005W-B-t26_1	BK006936:221,330..226,598(+)	gag-pol fusion protein	
YBL006C	YBL006C-t26_1	BK006936:216,587..217,129(-)	Ldb7p	
YBL007C	YBL007C-t26_1	BK006936:212,632..216,366(-)	cytoskeletal protein-binding protein SLA1	
YBL008W	YBL008W-t26_1	BK006936:209,653..212,175(+)	Hir1p	
YBL008W-A	YBL008W-A-t26_1	BK006936:209,409..209,648(+)	hypothetical protein	
YBL009W	YBL009W-t26_1	BK006936:207,194..209,224(+)	protein kinase ALK2	
YBL010C	YBL010C-t26_1	BK006936:206,107..206,949(-)	hypothetical protein	
YBL011W	YBL011W-t26_1	BK006936:203,538..205,817(+)	bifunctional glycerol-3-phosphate/glycerone-phosphate O-acyltransferase SCT1	
YBL013W	YBL013W-t26_1	BK006936:202,056..203,261(+)	methionyl-tRNA formyltransferase	
YBL014C	YBL014C-t26_1	BK006936:199,064..201,748(-)	Rrn6p	
YBL015W	YBL015W-t26_1	BK006936:194,122..195,702(+)	acetyl-CoA hydrolase	
YBL016W	YBL016W-t26_1	BK006936:192,451..193,512(+)	mitogen-activated serine/threonine-protein kinase FUS3	
YBL017C	YBL017C-t26_1	BK006936:186,844..191,583(-)	type I sorting receptor	
YBL018C	YBL018C-t26_1	BK006936:185,998..186,474(-)	ribonuclease P	
YBL019W	YBL019W-t26_1	BK006936:184,353..185,915(+)	DNA-(apurinic or apyrimidinic site) lyase APN2	
YBL020W	YBL020W-t26_1	BK006936:182,401..184,125(+)	glycolipid translocation protein	
YBL021C	YBL021C-t26_1	BK006936:181,660..182,094(-)	Hap3p	
YBL022C	YBL022C-t26_1	BK006936:177,874..181,275(-)	ATP-dependent Lon protease PIM1	
YBL023C	YBL023C-t26_1	BK006936:174,920..177,526(-)	MCM DNA helicase complex subunit MCM2	
YBL024W	YBL024W-t26_1	BK006936:172,534..174,588(+)	tRNA (cytosine-5-)-methyltransferase	
YBL025W	YBL025W-t26_1	BK006936:171,481..171,918(+)	Rrn10p	
YBL026W	YBL026W-t26_1	BK006936:170,623..171,038(+)	Sm-like protein LSM2	
YBL027W	YBL027W-t26_1	BK006936:168,423..169,376(+)	ribosomal 60S subunit protein L19B	
YBL028C	YBL028C-t26_1	BK006936:167,518..167,838(-)	hypothetical protein	
YBL029C-A	YBL029C-A-t26_1	BK006936:164,488..164,772(-)	hypothetical protein	
YBL029W	YBL029W-t26_1	BK006936:166,134..167,264(+)	hypothetical protein	
YBL030C	YBL030C-t26_1	BK006936:163,041..163,997(-)	ADP/ATP carrier protein PET9	
YBL031W	YBL031W-t26_1	BK006936:161,699..162,715(+)	She1p	
YBL032W	YBL032W-t26_1	BK006936:160,184..161,329(+)	Hek2p	
YBL033C	YBL033C-t26_1	BK006936:158,656..159,693(-)	GTP cyclohydrolase II	
YBL034C	YBL034C-t26_1	BK006936:153,848..158,389(-)	Stu1p	
YBL035C	YBL035C-t26_1	BK006936:151,493..153,610(-)	DNA-directed DNA polymerase alpha subunit POL12	
YBL036C	YBL036C-t26_1	BK006936:150,447..151,220(-)	hypothetical protein	
YBL037W	YBL037W-t26_1	BK006936:147,209..150,286(+)	Apl3p	
YBL038W	YBL038W-t26_1	BK006936:146,187..146,885(+)	mitochondrial 54S ribosomal protein YmL47	
YBL039C	YBL039C-t26_1	BK006936:143,989..145,728(-)	CTP synthase URA7	
YBL039W-B	YBL039W-B-t26_1	BK006936:143,393..143,572(+)	hypothetical protein	
YBL040C	YBL040C-t26_1	BK006936:142,112..142,868(-)	Erd2p	
YBL041W	YBL041W-t26_1	BK006936:141,247..141,972(+)	proteasome core particle subunit beta 6	
YBL042C	YBL042C-t26_1	BK006936:138,341..140,260(-)	uridine permease	
YBL043W	YBL043W-t26_1	BK006936:136,688..137,461(+)	Ecm13p	
YBL044W	YBL044W-t26_1	BK006936:135,998..136,366(+)	hypothetical protein	
YBL045C	YBL045C-t26_1	BK006936:134,143..135,516(-)	ubiquinol--cytochrome-c reductase subunit COR1	
YBL046W	YBL046W-t26_1	BK006936:132,424..133,749(+)	Psy4p	
YBL047C	YBL047C-t26_1	BK006936:127,895..132,040(-)	Ede1p	
YBL049W	YBL049W-t26_1	BK006936:126,828..127,244(+)	Moh1p	
YBL050W	YBL050W-t26_1	BK006936:125,125..126,119(+)	Sec17p	
YBL051C	YBL051C-t26_1	BK006936:122,753..124,759(-)	Pin4p	
YBL052C	YBL052C-t26_1	BK006936:119,379..121,874(-)	Sas3p	
YBL054W	YBL054W-t26_1	BK006936:117,589..119,166(+)	Tod6p	
YBL055C	YBL055C-t26_1	BK006936:115,573..116,829(-)	3'-5'-exodeoxyribonuclease	
YBL056W	YBL056W-t26_1	BK006936:113,762..115,168(+)	type 2C protein phosphatase PTC3	
YBL057C	YBL057C-t26_1	BK006936:112,801..113,427(-)	aminoacyl-tRNA hydrolase	
YBL058W	YBL058W-t26_1	BK006936:111,437..112,708(+)	protein phosphatase regulator SHP1	
YBL059C-A	YBL059C-A-t26_1	BK006936:110,125..110,539(-)	Cmc2p	
YBL059W	YBL059W-t26_1	BK006936:110,594..111,244(+)	hypothetical protein	
YBL060W	YBL060W-t26_1	BK006936:107,932..109,995(+)	Arf family guanine nucleotide exchange factor YEL1	
YBL061C	YBL061C-t26_1	BK006936:105,316..107,406(-)	Skt5p	
YBL063W	YBL063W-t26_1	BK006936:101,886..105,221(+)	Kip1p	
YBL064C	YBL064C-t26_1	BK006936:100,371..101,156(-)	thioredoxin peroxidase PRX1	
YBL066C	YBL066C-t26_1	BK006936:96,669..100,115(-)	Sef1p	
YBL067C	YBL067C-t26_1	BK006936:93,639..95,882(-)	ubiquitin-specific protease UBP13	
YBL068W	YBL068W-t26_1	BK006936:92,414..93,394(+)	ribose phosphate diphosphokinase subunit PRS4	
YBL069W	YBL069W-t26_1	BK006936:90,741..92,030(+)	Ast1p	
YBL071C-B	YBL071C-B-t26_1	BK006936:89,458..89,556(-)	hypothetical protein	
YBL071W-A	YBL071W-A-t26_1	BK006936:89,978..90,226(+)	Kti11p	
YBL072C	YBL072C-t26_1	BK006936:88,523..89,125(-)	ribosomal 40S subunit protein S8A	
YBL074C	YBL074C-t26_1	BK006936:86,722..87,789(-)	U5 snRNP complex subunit AAR2	
YBL075C	YBL075C-t26_1	BK006936:84,499..86,448(-)	Hsp70 family ATPase SSA3	
YBL076C	YBL076C-t26_1	BK006936:81,043..84,261(-)	isoleucine--tRNA ligase ILS1	
YBL078C	YBL078C-t26_1	BK006936:80,378..80,731(-)	ubiquitin-like protein ATG8	
YBL079W	YBL079W-t26_1	BK006936:75,259..79,767(+)	Nup170p	
YBL080C	YBL080C-t26_1	BK006936:73,070..74,695(-)	glutamyl-tRNA(Gln) amidotransferase subunit PET112	
YBL081W	YBL081W-t26_1	BK006936:71,866..72,972(+)	hypothetical protein	
YBL082C	YBL082C-t26_1	BK006936:69,751..71,127(-)	dolichyl-P-Man:Man(5)GlcNAc(2)-PP-dolichol alpha-1,3-mannosyltransferase	
YBL084C	YBL084C-t26_1	BK006936:67,169..69,445(-)	anaphase promoting complex subunit CDC27	
YBL085W	YBL085W-t26_1	BK006936:63,876..66,818(+)	Boi1p	
YBL086C	YBL086C-t26_1	BK006936:61,202..62,602(-)	hypothetical protein	
YBL087C	YBL087C-t26_1	BK006936:59,822..60,739(-)	ribosomal 60S subunit protein L23A	
YBL088C	YBL088C-t26_1	BK006936:51,019..59,382(-)	DNA-binding protein kinase TEL1	
YBL089W	YBL089W-t26_1	BK006936:49,574..50,953(+)	amino acid transporter	
YBL090W	YBL090W-t26_1	BK006936:48,825..49,358(+)	mitochondrial 37S ribosomal protein MRP21	
YBL091C	YBL091C-t26_1	BK006936:47,363..48,628(-)	methionine aminopeptidase	
YBL091C-A	YBL091C-A-t26_1	BK006936:46,565..47,180(-)	phospholipid metabolism-regulating protein SCS22	
YBL092W	YBL092W-t26_1	BK006936:45,978..46,370(+)	ribosomal 60S subunit protein L32	
YBL093C	YBL093C-t26_1	BK006936:44,256..44,918(-)	Rox3p	
YBL095W	YBL095W-t26_1	BK006936:43,277..44,089(+)	Mrx3p	
YBL097W	YBL097W-t26_1	BK006936:40,831..43,095(+)	condensin subunit BRN1	
YBL098W	YBL098W-t26_1	BK006936:39,145..40,527(+)	kynurenine 3-monooxygenase	
YBL099W	YBL099W-t26_1	BK006936:37,053..38,690(+)	F1F0 ATP synthase subunit alpha	
YBL100W-A	YBL100W-A-t26_1	BK006936:29,935..31,251(+)	gag protein	
YBL100W-B	YBL100W-B-t26_1	BK006936:29,935..35,248(+)	gag-pol fusion protein	
YBL100W-C	YBL100W-C-t26_1	BK006936:28,427..28,546(+)	hypothetical protein	
YBL101C	YBL101C-t26_1	BK006936:24,946..28,299(-)	Ecm21p	
YBL102W	YBL102W-t26_1	BK006936:24,098..24,745(+)	Sft2p	
YBL103C	YBL103C-t26_1	BK006936:22,076..23,536(-)	Rtg3p	
YBL104C	YBL104C-t26_1	BK006936:18,177..21,293(-)	Sea4p	
YBL105C	YBL105C-t26_1	BK006936:14,241..17,696(-)	protein kinase C	
YBL106C	YBL106C-t26_1	BK006936:10,847..13,879(-)	putative Rab GTPase-binding protein SRO77	
YBL107C	YBL107C-t26_1	BK006936:9,961..10,551(-)	Mix23p	
YBL108C-A	YBL108C-A-t26_1	BK006936:7,605..7,733(-)	seripauperin PAU9	
YBL111C	YBL111C-t26_1	BK006936:2,907..5,009(-)	hypothetical protein	
YBL112C	YBL112C-t26_1	BK006936:2,582..2,899(-)	hypothetical protein	
YBL113C	YBL113C-t26_1	BK006936:280..2,658(-)	hypothetical protein	
YBR001C	YBR001C-t26_1	BK006936:238,941..241,283(-)	alpha	
YBR002C	YBR002C-t26_1	BK006936:241,708..242,568(-)	ditrans,polycis-polyprenyl diphosphate synthase	
YBR003W	YBR003W-t26_1	BK006936:242,809..244,230(+)	trans-hexaprenyltranstransferase	
YBR004C	YBR004C-t26_1	BK006936:244,366..245,667(-)	GPI-anchor transamidase GPI18	
YBR005W	YBR005W-t26_1	BK006936:245,906..246,547(+)	Rcr1p	
YBR006W	YBR006W-t26_1	BK006936:247,010..248,503(+)	succinate-semialdehyde dehydrogenase (NAD(P)(+))	
YBR007C	YBR007C-t26_1	BK006936:248,806..251,016(-)	Dsf2p	
YBR008C	YBR008C-t26_1	BK006936:252,563..254,209(-)	Flr1p	
YBR009C	YBR009C-t26_1	BK006936:255,373..255,684(-)	histone H4	
YBR010W	YBR010W-t26_1	BK006936:256,331..256,741(+)	histone H3	
YBR011C	YBR011C-t26_1	BK006936:257,112..257,975(-)	inorganic diphosphatase IPP1	
YBR012W-A	YBR012W-A-t26_1	BK006936:259,869..261,191(+)	gag protein	
YBR012W-B	YBR012W-B-t26_1	BK006936:259,869..265,140(+)	gag-pol fusion protein	
YBR013C	YBR013C-t26_1	BK006936:265,492..265,881(-)	hypothetical protein	
YBR014C	YBR014C-t26_1	BK006936:266,725..267,336(-)	glutathione-disulfide reductase GRX7	
YBR015C	YBR015C-t26_1	BK006936:267,710..269,503(-)	alpha-1,2-mannosyltransferase MNN2	
YBR016W	YBR016W-t26_1	BK006936:270,247..270,633(+)	hypothetical protein	
YBR017C	YBR017C-t26_1	BK006936:270,947..273,703(-)	Kap104p	
YBR018C	YBR018C-t26_1	BK006936:274,427..275,527(-)	UDP-glucose:hexose-1-phosphate uridylyltransferase	
YBR019C	YBR019C-t26_1	BK006936:276,253..278,352(-)	bifunctional UDP-glucose 4-epimerase/aldose 1-epimerase	
YBR020W	YBR020W-t26_1	BK006936:279,021..280,607(+)	galactokinase	
YBR021W	YBR021W-t26_1	BK006936:281,443..283,344(+)	uracil permease	
YBR022W	YBR022W-t26_1	BK006936:283,738..284,271(+)	ADP-ribose 1''-phosphate phosphatase	
YBR023C	YBR023C-t26_1	BK006936:284,428..287,925(-)	chitin synthase CHS3	
YBR024W	YBR024W-t26_1	BK006936:289,445..290,350(+)	putative thioredoxin peroxidase SCO2	
YBR025C	YBR025C-t26_1	BK006936:290,681..291,865(-)	Obg-like ATPase	
YBR026C	YBR026C-t26_1	BK006936:292,877..294,019(-)	Etr1p	
YBR028C	YBR028C-t26_1	BK006936:294,425..296,002(-)	putative protein kinase YPK3	
YBR029C	YBR029C-t26_1	BK006936:296,369..297,742(-)	phosphatidate cytidylyltransferase	
YBR030W	YBR030W-t26_1	BK006936:298,292..299,950(+)	protein-lysine N-methyltransferase	
YBR031W	YBR031W-t26_1	BK006936:300,166..301,254(+)	ribosomal 60S subunit protein L4A	
YBR033W	YBR033W-t26_1	BK006936:301,944..304,703(+)	Eds1p	
YBR034C	YBR034C-t26_1	BK006936:304,930..305,976(-)	protein-arginine omega-N methyltransferase HMT1	
YBR035C	YBR035C-t26_1	BK006936:306,269..306,955(-)	pyridoxamine-phosphate oxidase PDX3	
